Player,Tm,PlayerId
Joel Embiid,PHI,embiijo01
Nikola Jokić,DEN,jokicni01
Nikola Jokić,DEN,jokicni01
Giannis Antetokounmpo,MIL,antetgi01
Giannis Antetokounmpo,MIL,antetgi01
James Harden,HOU,hardeja01
Russell Westbrook,OKC,westbru01
Stephen Curry,GSW,curryst01
Stephen Curry,GSW,curryst01
Kevin Durant,OKC,duranke01
LeBron James,MIA,jamesle01
LeBron James,MIA,jamesle01
Derrick Rose,CHI,rosede01
LeBron James,CLE,jamesle01
LeBron James,CLE,jamesle01
Kobe Bryant,LAL,bryanko01
Dirk Nowitzki,DAL,nowitdi01
Steve Nash,PHO,nashst01
Steve Nash,PHO,nashst01
Kevin Garnett,MIN,garneke01
Tim Duncan,SAS,duncati01
Tim Duncan,SAS,duncati01
Allen Iverson,PHI,iversal01
Shaquille O'Neal,LAL,onealsh01
Karl Malone,UTA,malonka01
Michael Jordan,CHI,jordami01
Karl Malone,UTA,malonka01
Michael Jordan,CHI,jordami01
David Robinson,SAS,robinda01
Hakeem Olajuwon,HOU,olajuha01
Charles Barkley,PHO,barklch01
Michael Jordan,CHI,jordami01
Michael Jordan,CHI,jordami01
Magic Johnson,LAL,johnsma02
Magic Johnson,LAL,johnsma02
Michael Jordan,CHI,jordami01
Magic Johnson,LAL,johnsma02
Larry Bird,BOS,birdla01
Larry Bird,BOS,birdla01
Larry Bird,BOS,birdla01
Moses Malone,PHI,malonmo01
Moses Malone,HOU,malonmo01
Julius Erving,PHI,ervinju01
Kareem Abdul-Jabbar,LAL,abdulka01
Moses Malone,HOU,malonmo01
Bill Walton,POR,waltobi01
Kareem Abdul-Jabbar,LAL,abdulka01
Kareem Abdul-Jabbar,LAL,abdulka01
Bob McAdoo,BUF,mcadobo01
Kareem Abdul-Jabbar,MIL,abdulka01
Dave Cowens,BOS,cowenda01
Kareem Abdul-Jabbar,MIL,abdulka01
Kareem Abdul-Jabbar,MIL,abdulka01
Willis Reed,NYK,reedwi01
Wes Unseld,BAL,unselwe01
Wilt Chamberlain,PHI,chambwi01
Wilt Chamberlain,PHI,chambwi01
Wilt Chamberlain,PHI,chambwi01
Bill Russell,BOS,russebi01
Oscar Robertson,CIN,roberos01
Bill Russell,BOS,russebi01
Bill Russell,BOS,russebi01
Bill Russell,BOS,russebi01
Wilt Chamberlain,PHW,chambwi01
Bob Pettit,STL,pettibo01
Bill Russell,BOS,russebi01
Bob Cousy,BOS,cousybo01
Bob Pettit,STL,pettibo01
Julius Erving,NYA,ervinju01
Julius Erving (Tie),NYA,ervinju01
George McGinnis (Tie),INA,mcginge01
Julius Erving,NYA,ervinju01
Billy Cunningham,CAR,cunnibi01
Artis Gilmore,KEN,gilmoar01
Mel Daniels,INA,danieme01
Spencer Haywood,DNR,haywosp01
Mel Daniels,INA,danieme01
Connie Hawkins,PTP,hawkico01
