Player,From,To,PlayerId
Alaa Abdelnaby,1993,1994,abdelal01
Zaid Abdul-Aziz,1978,1978,abdulza01
Mark Acres,1988,1989,acresma01
Danny Ainge,1982,1989,aingeda01
Kadeem Allen,2018,2018,allenka01
Ray Allen,2008,2012,allenra02
Tony Allen,2005,2010,allento01
Jerome Anderson,1976,1976,anderje01
Kenny Anderson,1998,2002,anderke01
Joel Anthony,2014,2014,anthojo01
Tiny Archibald,1979,1983,architi01
Jim Ard,1975,1978,ardji01
Carlos Arroyo,2011,2011,arroyca01
Chucky Atkins,2004,2004,atkinch01
Dennis Awtrey,1979,1979,awtrede01
Chris Babb,2014,2014,babbch01
Johnny Bach,1949,1949,bachjo01
John Bagley,1990,1993,baglejo01
Vin Baker,2003,2004,bakervi01
Marcus Banks,2004,2006,banksma01
Leandro Barbosa,2013,2013,barbole01
Tom Barker,1979,1979,barketo01
Don Barksdale,1954,1955,barksdo01
Jim Barnes,1969,1970,barneji01
Marvin Barnes,1979,1979,barnema01
Jim Barnett,1967,1967,barneji02
Ernie Barrett,1954,1956,barreer01
Dana Barros,1996,2004,barroda01
Brandon Bass,2012,2015,bassbr01
Tony Battie,1999,2004,battito01
Kenny Battle,1992,1993,battlke01
Jerryd Bayless,2014,2014,bayleje01
Aron Baynes,2018,2019,baynear01
Moe Becker,1947,1947,beckemo01
Hank Beenders,1949,1949,beendha01
Bob Bigelow,1978,1978,bigelbo01
Chauncey Billups,1998,1998,billuch01
Dave Bing,1978,1978,bingda01
Jabari Bird,2018,2018,birdja01
Larry Bird,1980,1992,birdla01
Otis Birdsong,1989,1989,birdsot01
James Blackwell,1995,1995,blackja01
Mike Bloom,1948,1948,bloommi01
Mark Blount,2001,2006,blounma01
Vander Blue,2014,2014,blueva01
Keith Bogans,2014,2014,boganke01
Ron Bonham,1965,1966,bonharo01
Tom Boswell,1976,1978,bosweto01
Bruce Bowen,1998,1999,bowenbr01
Harry Boykoff,1951,1951,boykoha01
Avery Bradley,2011,2017,bradlav01
Charles Bradley,1982,1983,bradlch01
Bob Brannum,1952,1955,brannbo01
Carl Braun,1962,1962,braunca01
J.R. Bremer,2003,2003,bremejr01
Frank Brickowski,1997,1997,brickfr01
Al Brightman,1947,1947,brighal01
Malcolm Brogdon,2023,2023,brogdma01
MarShon Brooks,2014,2014,brookma01
Dee Brown,1991,1998,brownde01
Jaylen Brown,2017,2023,brownja02
Kedrick Brown,2002,2004,brownke01
P.J. Brown,2008,2008,brownpj01
Randy Brown,2001,2002,brownra02
Rick Brunson,2001,2001,brunsri01
Em Bryant,1969,1970,bryanem01
Mark Bryant,2003,2003,bryanma01
Quinn Buckner,1983,1985,bucknqu01
Junior Burrough,1996,1996,burroju01
Al Butler,1962,1962,butleal01
Rick Carlisle,1985,1987,carliri01
Chris Carr,2001,2001,carrch01
M.L. Carr,1980,1985,carrml01
Sam Cassell,2008,2008,cassesa01
Justin Champagnie,2023,2023,champju01
Don Chaney,1969,1980,chanedo01
Calbert Cheaney,2000,2000,cheanca01
Carlos Clark,1984,1985,clarkca01
Coty Clarke,2016,2016,clarkco01
Charles Claxton,1996,1996,claxtch01
Ben Clyde,1975,1975,clydebe01
Bimbo Coles,2003,2003,colesbi01
Jason Collins,2013,2013,collija04
Gene Conley,1953,1961,conlege01
Marty Conlon,1997,1997,conloma01
Chuck Connors,1947,1948,connoch01
Norm Cook,1977,1977,cookno01
Chuck Cooper,1951,1954,coopech01
Chris Corchiani,1994,1994,corchch01
Mel Counts,1965,1966,countme01
Bob Cousy,1951,1963,cousybo01
Dave Cowens,1971,1980,cowenda01
Jordan Crawford,2013,2014,crawfjo02
Hal Crisler,1947,1947,crislha01
Jae Crowder,2015,2017,crowdja01
Marquis Daniels,2010,2012,daniema01
Gigi Datome,2015,2015,datomlu01
Glen Davis,2008,2011,davisgl01
Ricky Davis,2004,2006,davisri01
JD Davison,2023,2023,davisjd01
Tony Dawson,1995,1995,dawsoto01
Todd Day,1996,1997,dayto01
Darren Daye,1987,1988,dayeda01
Andrew DeClercq,1998,1999,declean01
Tony Delk,2002,2003,delkto01
Dan Dickau,2006,2006,dickada01
Dick Dickey,1952,1952,dickedi01
Ernie DiGregorio,1978,1978,digreer01
Bill Dinwiddie,1971,1971,dinwibi01
Bob Doll,1949,1950,dollbo01
Bob Donham,1951,1954,donhabo01
Keyon Dooling,2012,2012,doolike01
Sherman Douglas,1992,1996,douglsh01
Steve Downing,1974,1975,downist01
PJ Dozier,2019,2019,doziepj01
Nate Driggers,1997,1997,driggna01
Terry Duerod,1981,1982,duerote01
Bob Duffy,1947,1947,duffybo01
Andy Duncan,1951,1951,duncaan01
Acie Earl,1994,1995,earlac01
Jarell Eddie,2018,2018,eddieja01
Tyus Edney,1998,1998,edneyty01
Blue Edwards,1995,1995,edwarbl01
Carsen Edwards,2020,2021,edwarca01
Bulbs Ehlers,1948,1949,ehlerbu01
Don Eliason,1947,1947,eliasdo01
Pervis Ellison,1995,2000,ellispe01
Wayne Embry,1967,1968,embrywa01
Gene Englund,1950,1950,engluge01
Semih Erden,2011,2011,erdense01
Johnny Ezersky,1949,1950,ezersjo01
Tacko Fall,2020,2021,fallta01
Phil Farbman,1949,1949,farbmph01
Vítor Luiz Faverani,2014,2014,favervi01
Warren Fenley,1947,1947,fenlewa01
Bruno Fernando,2022,2022,fernabr01
Eric Fernsten,1980,1982,fernser01
Hank Finkel,1970,1975,finkeha01
Michael Finley,2010,2010,finlemi01
Malik Fitts,2022,2022,fittsma01
Jack Foley,1963,1963,foleyja01
Chris Ford,1979,1982,fordch01
Joseph Forte,2002,2002,fortejo01
Danny Fortson,2000,2000,fortsda01
Evan Fournier,2021,2021,fournev01
Rick Fox,1992,1997,foxri01
Enes Freedom,2020,2022,kanteen01
Kevin Gamble,1989,1994,gamblke01
Jack Garfinkel,1947,1949,garfija01
Kevin Garnett,2008,2013,garneke01
Marlon Garnett,1999,1999,garnema01
Hoot Gibson,1950,1950,gibsoho01
Jonathan Gibson,2018,2018,gibsojo01
J.R. Giddens,2009,2010,giddejr01
Artis Gilmore,1988,1988,gilmoar01
Clarence Glover,1972,1972,glovecl01
Ryan Gomes,2006,2007,gomesry01
Mal Graham,1968,1969,grahama01
Ron Grandison,1989,1989,grandro01
Wyndol Gray,1947,1947,graywy01
Gerald Green,2006,2017,greenge01
Javonte Green,2020,2021,greenja02
Jeff Green,2011,2015,greenje02
Rickey Green,1992,1992,greenri01
Si Green,1966,1966,greensi01
Orien Greene,2006,2006,greenor01
Adrian Griffin,2000,2001,griffad01
Blake Griffin,2023,2023,griffbl01
Gene Guarilia,1960,1963,guarige01
Tom Gugliotta,2005,2005,guglito01
Chick Halbert,1949,1949,halbech01
Steve Hamer,1997,1997,hamerst01
Thomas Hamilton,1996,1996,hamilth01
Cecil Hankins,1948,1948,hankice01
Phil Hankinson,1974,1975,hankiph01
Reggie Hanson,1998,1998,hansore01
Luke Harangody,2011,2011,haranlu01
Bob Harris,1951,1954,harribo01
Tony Harris,1994,1995,harrito01
Sam Hauser,2022,2023,hausesa01
John Havlicek,1963,1978,havlijo01
Michael Hawkins,1997,1997,hawkimi01
Gordon Hayward,2018,2020,haywago01
John Hazen,1949,1949,hazenjo01
Tom Heinsohn,1957,1965,heinsto01
Dick Hemric,1956,1957,hemridi01
Gerald Henderson,1980,1984,hendege01
Conner Henry,1987,1988,henryco01
Kleggie Hermsen,1951,1953,hermskl01
Juancho Hernangómez,2022,2022,hernaju01
Chris Herren,2001,2001,herrech01
Sonny Hertzberg,1950,1951,hertzso01
Jack Hewson,1948,1948,hewsoja01
Mel Hirsch,1947,1947,hirscme01
Charlie Hoefer,1947,1948,hoefech01
Ryan Hollins,2012,2012,holliry01
Al Horford,2017,2023,horfoal01
Bob Houbregs,1955,1955,houbrbo01
Eddie House,2008,2010,houseed01
Bailey Howell,1967,1970,howelba01
Lester Hudson,2010,2010,hudsole01
Jay Humphries,1995,1995,humphja01
Kris Humphries,2014,2014,humphkr01
Brandon Hunter,2004,2004,huntebr01
R.J. Hunter,2016,2019,hunterj01
Kyrie Irving,2018,2019,irvinky01
Demetrius Jackson,2017,2017,jacksde01
Justin Jackson,2022,2023,jacksju01
Tracy Jackson,1982,1982,jackstr01
Mike James,2004,2004,jamesmi01
John Janisch,1948,1948,janisjo01
Al Jefferson,2005,2007,jeffeal01
Jonas Jerebko,2015,2017,jerebjo01
Amir Johnson,2016,2017,johnsam01
Chris Johnson,2011,2011,johnsch03
Chris Johnson,2014,2014,johnsch04
Dennis Johnson,1984,1990,johnsde01
JaJuan Johnson,2012,2012,johnsja02
Joe Johnson,2002,2022,johnsjo02
Rich Johnson,1969,1971,johnsri01
Damon Jones,1999,1999,jonesda01
Dontae' Jones,1998,1998,jonesdo01
Dwayne Jones,2006,2006,jonesdw02
Johnny Jones,1968,1968,jonesjo01
Jumaine Jones,2004,2004,jonesju01
K.C. Jones,1959,1967,joneskc01
Popeye Jones,1999,1999,jonespo01
Sam Jones,1958,1969,jonessa01
Kris Joseph,2013,2013,josepkr01
Jeff Judkins,1979,1980,judkije01
Mfiondu Kabengele,2023,2023,kabenmf01
George Kaftan,1949,1950,kaftage01
Tony Kappen,1947,1947,kappeto01
Jerry Kelly,1947,1947,kellyje01
Tom Kelly,1949,1949,kellyto01
Toby Kimball,1967,1967,kimbato01
Maurice King,1960,1960,kingma01
Stacey King,1997,1997,kingst01
Bob Kinney,1949,1950,kinnebo01
Greg Kite,1984,1988,kitegr01
Joe Kleine,1989,1993,kleinjo01
Billy Knight,1979,1979,knighbi01
Travis Knight,1998,1998,knightr01
Bart Kofoed,1993,1993,kofoeba01
Luke Kornet,2021,2023,kornelu01
Harold Kottman,1947,1947,kottmha01
Wayne Kreklow,1981,1981,kreklwa01
Nenad Krstić,2011,2011,krstine01
Steve Kuberski,1970,1978,kuberst01
Frank Kudelka,1951,1951,kudelfr01
Oliver Lafayette,2010,2010,lafayol01
Raef LaFrentz,2004,2006,lafrera01
Marcus Landry,2010,2010,landrma01
Romeo Langford,2020,2022,langfro01
Shane Larkin,2018,2018,larkish01
Tony Lavelli,1950,1950,lavelto01
Courtney Lee,2013,2014,leeco01
David Lee,2016,2016,leeda02
Ed Leede,1950,1951,leedeed01
Reggie Lewis,1988,1993,lewisre01
Todd Lichti,1994,1994,lichtto01
Alton Lister,1996,1997,listeal01
Brad Lohaus,1988,1989,lohaubr01
Grant Long,2003,2003,longgr01
Jim Loscutoff,1956,1964,loscuji01
Clyde Lovellette,1963,1964,lovelcl01
Al Lucas,1949,1949,lucasal01
Ed Macauley,1951,1956,macaued01
John Mahnken,1950,1953,mahnkjo01
Mo Mahoney,1953,1953,mahonmo01
Pete Maravich,1980,1980,maravpe01
Stephon Marbury,2009,2009,marbust01
Saul Mariaschin,1948,1948,mariasa01
Kelan Martin,2022,2022,martike03
Tony Massenburg,1992,1992,masseto01
Cedric Maxwell,1978,1985,maxwece01
Bob McAdoo,1979,1979,mcadobo01
Johnny McCarthy,1964,1964,mccarjo01
Walter McCarty,1998,2005,mccarwa01
Xavier McDaniel,1993,1995,mcdanxa01
Glenn McDonald,1975,1976,mcdongl01
Kevin McHale,1981,1993,mchalke01
Bones McKinney,1951,1952,mckinbo01
Dick Mehen,1951,1951,mehendi01
Fab Melo,2013,2013,melofa01
Ron Mercer,1998,1999,mercero01
Jordan Mickey,2016,2017,mickejo01
Chris Mihm,2004,2004,mihmch01
Ed Mikan,1954,1954,mikaned01
C.J. Miles,2022,2022,milescj01
Darko Miličić,2013,2013,milicda01
Dirk Minniefield,1988,1988,minnidi01
Greg Minor,1995,1999,minorgr01
Mark Minor,1973,1973,minorma01
Jérôme Moïso,2001,2001,moisoje01
Greg Monroe,2018,2019,monrogr01
Eric Montross,1995,1996,montrer01
E'Twaun Moore,2012,2012,mooreet01
Mikki Moore,2003,2009,mooremi01
Juwan Morgan,2022,2022,morgaju01
Rex Morgan,1971,1972,morgare01
Marcus Morris,2018,2019,morrima03
Red Morrison,1955,1956,morrire01
Joe Mullaney,1950,1950,mullajo01
Todd Mundt,1996,1996,mundtto01
George Munroe,1948,1948,munroge01
Dick Murphy,1947,1947,murphdi01
Troy Murphy,2011,2011,murphtr01
Mike Muscala,2023,2023,muscami01
Abdel Nader,2018,2018,naderab01
Willie Naulls,1964,1966,naullwi01
Don Nelson,1966,1976,nelsodo01
Jameer Nelson,2015,2015,nelsoja01
Aaron Nesmith,2021,2022,nesmiaa01
Jack Nichols,1954,1958,nichoja01
Rich Niemann,1970,1970,niemari01
Bevo Nordmann,1965,1965,nordmbe01
George Nostrand,1949,1950,nostrge01
Stan Noszka,1948,1949,noszkst01
Patrick O'Bryant,2009,2009,obryapa01
Dermie O'Connell,1949,1950,oconnde01
Jermaine O'Neal,2011,2012,onealje01
Shaquille O'Neal,2011,2011,onealsh01
Semi Ojeleye,2018,2021,ojelese01
Jimmy Oliver,1994,1994,oliveji01
Michael Olowokandi,2006,2007,olowomi01
Bud Olsen,1969,1969,olsenbu01
Kelly Olynyk,2014,2017,olynyke01
Doug Overton,2000,2001,overtdo01
Milt Palacio,2001,2002,palacmi01
Togo Palazzi,1955,1957,palazto01
Robert Parish,1981,1994,parisro01
Jabari Parker,2021,2022,parkeja01
Sasha Pavlović,2011,2012,pavloal01
Jim Paxson,1988,1990,paxsoji02
Gary Payton,2005,2005,paytoga01
Kendrick Perkins,2004,2011,perkike01
Andy Phillip,1957,1958,phillan01
Gary Phillips,1962,1962,phillga01
Paul Pierce,1999,2013,piercpa01
Mickaël Piétrus,2012,2012,pietrmi01
