Player,From,To,PlayerId
Quincy Acy,2017,2018,acyqu01
Hassan Adams,2007,2007,adamsha01
Rafael Addison,1992,1993,addisra01
Maurice Ager,2008,2009,agerma01
LaMarcus Aldridge,2021,2022,aldrila01
Jarrett Allen,2018,2021,allenja01
Malik Allen,2008,2008,allenma01
Rafer Alston,2010,2010,alstora01
Alan Anderson,2014,2015,anderal01
Dan Anderson,1968,1969,anderda01
Greg Anderson,1991,1991,andergr01
Justin Anderson,2020,2020,anderju01
Kenny Anderson,1992,1996,anderke01
Ron Anderson,1994,1994,anderro01
Ryan Anderson,2009,2009,anderry01
Tiny Archibald,1977,1977,architi01
Jim Ard,1971,1973,ardji01
Brandon Armstrong,2002,2004,armstbr01
Darrell Armstrong,2008,2008,armstda01
Bob Arnzen,1970,1970,arnzebo01
Vincent Askew,1997,1997,askewvi01
Johnny Austin,1968,1968,austijo01
Bird Averitt,1978,1978,averibi01
John Bagley,1988,1989,baglejo01
James Bailey,1982,1987,baileja01
Mike Bantom,1977,1977,bantomi01
Andrea Bargnani,2016,2016,bargnan01
Rick Barry,1971,1972,barryri01
Tim Bassett,1976,1980,basseti01
Tony Battie,2010,2010,battito01
Johnny Baum,1972,1973,baumjo01
Al Beard,1968,1968,beardal01
Art Becker,1973,1973,beckear01
DeAndre' Bembry,2022,2022,bembrde01
Benoit Benjamin,1994,1995,benjabe01
Anthony Bennett,2017,2017,bennean01
David Benoit,1998,1998,benoida01
Walter Berry,1989,1989,berrywa01
Travis Best,2005,2005,besttr01
Otis Birdsong,1982,1988,birdsot01
Andray Blatche,2013,2014,blatcan01
Mookie Blaylock,1990,1992,blaylmo01
Keith Bogans,2012,2013,boganke01
Bojan Bogdanović,2015,2017,bogdabo02
Trevor Booker,2017,2018,booketr01
Josh Boone,2007,2010,boonejo01
Tommie Bowens,1969,1969,bowento01
Sam Bowie,1990,1993,bowiesa01
Earl Boykins,1999,1999,boykiea01
Winford Boynes,1979,1980,boynewi01
Dudley Bradley,1988,1988,bradldu01
Shawn Bradley,1996,1997,bradlsh01
Adrian Branch,1988,1988,brancad01
Ron Brewer,1985,1985,brewero01
Mikal Bridges,2023,2023,bridgmi01
MarShon Brooks,2012,2013,brookma01
Bruce Brown,2021,2022,brownbr01
Chucky Brown,1993,1993,brownch01
Damone Brown,2004,2004,brownda02
Markel Brown,2015,2016,brownma02
Moses Brown,2023,2023,brownmo01
P.J. Brown,1994,1996,brownpj01
Tony Brown,1987,1987,brownto01
Stanley Brundy,1990,1990,brundst01
George Bruns,1973,1973,brunsge01
George Bucci,1976,1976,buccige01
Jud Buechler,1991,1992,buechju01
Rodney Buford,2005,2005,buforro01
Bill Bunting,1971,1971,buntibi02
David Burns,1982,1982,burnsda01
Scott Burrell,1999,2000,burresc01
Michael Cage,1998,2000,cagemi01
Adrian Caldwell,1997,1997,caldwad01
Jim Caldwell,1968,1968,caldwji01
Elden Campbell,2005,2005,campbel01
Rick Carlisle,1990,1990,carliri01
Chris Carr,1999,1999,carrch01
Bob Carrington,1978,1978,carribo01
DeMarre Carroll,2018,2019,carrode01
Joe Barry Carroll,1989,1990,carrojo01
George Carter,1973,1973,cartege01
Jevon Carter,2022,2022,carteje01
Vince Carter,2005,2009,cartevi01
Sam Cassell,1997,1999,cassesa01
Harvey Catchings,1979,1979,catchha01
Bobby Cattage,1986,1986,cattabo01
Ron Cavenall,1989,1989,cavenro01
Wilson Chandler,2020,2020,chandwi01
Maurice Cheeks,1993,1993,cheekma01
Josh Childress,2013,2013,childjo01
Chris Childs,1995,2003,childch01
Chris Chiozza,2020,2021,chiozch01
Jim Chones,1973,1973,choneji01
Bob Christian,1970,1970,chrisbo01
Steve Chubin,1969,1970,chubist01
Earl Clark,2015,2015,clarkea01
Nic Claxton,2020,2023,claxtni01
Ben Coleman,1987,1988,colembe01
Derrick Coleman,1991,1995,colemde01
Jason Collins,2002,2014,collija04
Dallas Comegys,1988,1988,comegda01
Jeff Congdon,1971,1971,congdje01
Lester Conner,1989,1991,connele01
Darwin Cook,1981,1986,cookda01
Tyler Cook,2021,2021,cookty01
Joe Cooper,1982,1982,coopejo01
Allen Crabbe,2018,2019,crabbal01
Jamal Crawford,2020,2020,crawfja01
Mitch Creek,2019,2019,creekmi01
Mark Crow,1978,1978,crowma01
Dante Cunningham,2018,2018,cunnida01
William Cunningham,1999,1999,cunniwi01
Seth Curry,2022,2023,curryse01
Lloyd Daniels,1997,1997,daniell01
Mel Daniels,1977,1977,danieme01
Ollie Darden,1969,1969,dardeol01
Yinka Dare,1995,1998,dareyi01
Brandon Davies,2015,2015,daviebr01
Ed Davis,2019,2019,davised01
Hubert Davis,2004,2004,davishu01
Mel Davis,1977,1977,davisme01
Darryl Dawkins,1983,1987,dawkida01
Billy DeAngelis,1971,1971,deangbi01
Joe DePre,1971,1973,deprejo01
Derrick Dial,2002,2002,dialde01
Kaniel Dickens,2005,2005,dickeka01
Spencer Dinwiddie,2017,2023,dinwisp01
DeSagana Diop,2008,2008,diopde01
Keyon Dooling,2009,2010,doolike01
Sherman Douglas,1998,2001,douglsh01
Chris Douglas-Roberts,2009,2010,douglch01
Sonny Dove,1970,1972,doveso01
Milton Doyle,2018,2018,doylemi01
Goran Dragić,2022,2022,dragigo01
Andre Drummond,2022,2022,drumman01
Chris Dudley,1990,1993,dudlech02
Jared Dudley,2019,2019,dudleja01
David Duke Jr.,2022,2023,dukeda01
Kevin Durant,2021,2023,duranke01
Jarrett Durham,1972,1972,durhaja01
Jim Eakins,1976,1976,eakinji01
Kessler Edwards,2022,2023,edwarke02
Kevin Edwards,1994,1998,edwarke01
Henry Ellenson,2020,2020,ellenhe01
Wayne Ellington,2016,2016,ellinwa01
Bob Elliott,1979,1981,elliobo01
Len Elmore,1982,1983,elmorle01
Andre Emmett,2012,2012,emmetan01
Chris Engler,1985,1988,englech01
James Ennis III,2022,2022,ennisja01
Julius Erving,1974,1976,ervinju01
Evan Eschmeyer,2000,2001,eschmev01
Billy Evans,1970,1970,evansbi01
Brian Evans,1998,1999,evansbr01
Reggie Evans,2013,2014,evansre01
Kenneth Faried,2019,2019,farieke01
Jordan Farmar,2011,2012,farmajo01
Derrick Favors,2011,2011,favorde01
Jamie Feick,1999,2001,feickja01
Dave Feitl,1992,1992,feitlda01
Yogi Ferrell,2017,2017,ferreyo01
Dorian Finney-Smith,2023,2023,finnedo01
Vern Fleming,1996,1996,flemive01
Sleepy Floyd,1983,1995,floydsl01
Phil Ford,1983,1983,fordph01
Jim Fox,1977,1977,foxji01
Randy Foye,2017,2017,foyera01
Will Frazier,1969,1969,fraziwi01
Wenyen Gabriel,2022,2022,gabriwe01
Dan Gadzuric,2011,2011,gadzuda01
Corey Gaines,1989,1989,gaineco01
Sundiata Gaines,2011,2012,gainesu01
Mike Gale,1974,1975,galemi01
Langston Galloway,2022,2022,gallola01
Kevin Garnett,2014,2015,garneke01
Chris Gatling,1997,1999,gatlich01
Tate George,1991,1993,georgta01
Derrick Gervin,1990,1991,gervide01
Eddie Gill,2001,2008,gilled01
Kendall Gill,1996,2001,gillke01
Jack Gillespie,1970,1970,gilleja01
Armen Gilliam,1994,1996,gilliar01
Gerald Glass,1996,1996,glassge01
Mike Gminski,1981,1988,gminsmi01
Anthony Goldwire,2004,2004,goldwan01
Steve Goodrich,2002,2002,goodrst01
Archie Goodwin,2017,2017,goodwar01
Greg Graham,1996,1996,grahagr01
Stephen Graham,2011,2011,grahast01
Treveon Graham,2019,2019,grahatr01
Evric Gray,1997,1997,grayev01
RaiQuan Gray,2023,2023,grayra01
Bob Greacen,1972,1972,greacbo01
Gerald Green,2012,2012,greenge01
Jeff Green,2021,2021,greenje02
Luther Green,1970,1971,greenlu01
Orien Greene,2011,2011,greenor01
Gary Gregor,1973,1974,gregoga01
Dennis Grey,1970,1970,greyde01
Blake Griffin,2021,2022,griffbl01
Jorge Gutiérrez,2014,2015,gutiejo01
Rudy Hackett,1977,1977,hackeru01
Jack Haley,1990,1998,haleyja01
Donta Hall,2020,2020,halldo01
Justin Hamilton,2017,2017,hamilju01
James Harden,2021,2022,hardeja01
Devin Harris,2008,2011,harride01
Joe Harris,2017,2023,harrijo01
Lucious Harris,1998,2004,harrilu01
Shaquille Harrison,2022,2022,harrish01
Donnell Harvey,2005,2005,harvedo01
Trenton Hassell,2008,2010,hassetr01
Bubbles Hawkins,1977,1978,hawkiro01
Jarvis Hayes,2009,2010,hayesja01
Jim Hayes,1971,1971,hayesji01
Mark Hendrickson,1999,2000,hendrma01
Art Heyman,1968,1968,heymaar01
Rod Higgins,1986,1986,higgiro01
Sean Higgins,1995,1995,higgise01
Darnell Hillman,1978,1978,hillmda01
Roy Hinson,1988,1991,hinsoro01
Rondae Hollis-Jefferson,2016,2019,holliro01
Tom Hoover,1969,1969,hooveto01
Dave Hoppen,1993,1993,hoppeda01
Dennis Hopson,1988,1990,hopsode01
Dennis Horner,2012,2012,hornede01
Eddie House,2007,2007,houseed01
Kim Hughes,1976,1978,hugheki01
Kris Humphries,2010,2013,humphkr01
Les Hunter,1970,1971,huntele01
Mile Ilić,2007,2007,ilicmi01
Kyrie Irving,2020,2023,irvinky01
Jarrett Jack,2015,2016,jackja01
Jaren Jackson,1990,1990,jacksja01
Jim Jackson,1997,1997,jacksji01
Marc Jackson,2006,2006,jacksma02
Phil Jackson,1979,1980,jacksph01
Stephen Jackson,2001,2001,jacksst02
Tony Jackson,1968,1969,jacksto01
Dave Jamerson,1994,1994,jamerda01
Damion James,2011,2013,jamesda01
Mike James,2021,2021,jamesmi02
Cory Jefferson,2015,2015,jeffeco01
Richard Jefferson,2002,2008,jefferi01
Yi Jianlian,2009,2010,jianlyi01
Alize Johnson,2021,2021,johnsal02
Anthony Johnson,2002,2003,johnsan02
Armon Johnson,2012,2012,johnsar02
Cameron Johnson,2023,2023,johnsca02
Ed Johnson,1970,1971,johnsed01
George Johnson,1978,1985,johnsge02
James Johnson,2022,2022,johnsja01
Joe Johnson,2013,2016,johnsjo02
Linton Johnson,2006,2006,johnsli01
Mickey Johnson,1983,1986,johnsmi01
Reggie Johnson,1984,1984,johnsre01
Stew Johnson,1968,1969,johnsst01
Tyler Johnson,2020,2021,johnsty01
Bill Jones,1989,1989,jonesbi01
Damon Jones,1999,1999,jonesda01
Edgar Jones,1981,1981,jonesed01
Mark Jones,1984,1984,jonesma02
Rich Jones,1976,1977,jonesri01
DeAndre Jordan,2020,2021,jordade01
Eddie Jordan,1978,1981,jordaed01
Jerome Jordan,2015,2015,jordaje01
Kris Joseph,2013,2013,josepkr01
Yvon Joseph,1986,1986,josepyv01
Sergey Karasev,2015,2016,karasse01
Rich Kelley,1980,1980,kelleri01
Larry Kenon,1974,1975,kenonla01
Jason Kidd,2002,2008,kiddja01
Sean Kilpatrick,2016,2018,kilpase01
Albert King,1982,1987,kingal01
Bernard King,1978,1993,kingbe01
Andrei Kirilenko,2014,2015,kirilan01
Kerry Kittles,1997,2004,kittlke01
Joe Kleine,1997,1997,kleinjo01
Rod Knowles,1969,1969,knowlro01
Tony Koski,1969,1969,koskito01
Barry Kramer,1970,1970,krameba01
Nenad Krstić,2005,2008,krstine01
Bruce Kuczenski,1984,1984,kuczebr01
Rodions Kurucs,2019,2021,kurucro01
Sam Lacey,1982,1982,laceysa01
Bob Lackey,1973,1974,lackebo01
Wendell Ladner,1974,1975,ladnewe01
