Player,From,To,PlayerId
Tariq Abdul-Wahad,2002,2003,abdulta01
Quincy Acy,2017,2017,acyqu01
Maurice Ager,2007,2008,agerma01
Mark Aguirre,1982,1989,aguirma01
Alexis Ajinça,2011,2011,ajincal01
Josh Akognon,2013,2013,akognjo01
Courtney Alexander,2001,2001,alexaco02
Steve Alford,1988,1991,alforst01
Malik Allen,2008,2008,allenma01
Darrell Allums,1981,1981,allumda01
Al-Farouq Aminu,2015,2015,aminual01
Justin Anderson,2016,2017,anderju01
Chris Anstey,1998,1999,anstech01
Kostas Antetokounmpo,2019,2019,antetko01
Darrell Armstrong,2005,2006,armstda01
Kelenna Azubuike,2012,2012,azubuke01
Steve Bardo,1993,1993,bardost01
J.J. Barea,2007,2020,bareajo01
Harrison Barnes,2017,2019,barneha02
Brandon Bass,2008,2009,bassbr01
Rodrigue Beaubois,2010,2013,beaubro01
Charlie Bell,2002,2002,bellch01
Raja Bell,2003,2003,bellra01
Ben Bentil,2017,2017,bentibe01
Dāvis Bertāns,2022,2023,bertada01
Travis Best,2004,2004,besttr01
Tyler Bey,2021,2021,beyty01
Uwe Blab,1986,1989,blabuw01
Rolando Blackman,1982,1992,blackro01
DeJuan Blair,2014,2014,blairde01
Andrew Bogut,2017,2017,bogutan01
Walter Bond,1993,1993,bondwa01
Calvin Booth,2001,2005,boothca01
Winford Boynes,1981,1981,boynewi01
Shawn Bradley,1997,2005,bradlsh01
Elton Brand,2013,2013,brandel01
Corey Brewer,2011,2011,breweco01
Allan Bristow,1982,1983,bristal01
Ryan Broekhoff,2019,2020,broekry01
Scott Brooks,1995,1996,brooksc01
Charlie Brown Jr.,2022,2022,brownch02
Chucky Brown,1994,1994,brownch01
Moses Brown,2022,2022,brownmo01
Sterling Brown,2022,2022,brownst02
Jalen Brunson,2019,2022,brunsja01
Nicolás Brussino,2017,2017,brussni01
Mark Bryant,2001,2001,bryanma01
Wallace Bryant,1985,1986,bryanwa01
Greg Buckner,2000,2007,buckngr01
Reggie Bullock,2022,2023,bullore01
Trey Burke,2019,2022,burketr01
Caron Butler,2010,2011,butleca01
Marty Byrnes,1981,1981,byrnema01
José Calderón,2014,2014,caldejo01
Adrian Caldwell,1998,1998,caldwad01
Dexter Cambridge,1993,1993,cambrde01
Facundo Campazzo,2023,2023,campafa01
Tony Campbell,1994,1994,campbto01
Brian Cardinal,2011,2012,cardibr01
Austin Carr,1981,1981,carrau01
Matt Carroll,2009,2010,carroma01
Howard Carter,1985,1985,carteho01
Vince Carter,2012,2014,cartevi01
Sam Cassell,1997,1997,cassesa01
Willie Cauley-Stein,2020,2022,caulewi01
Cedric Ceballos,1998,2000,cebalce01
Tyson Chandler,2011,2015,chandty01
Marquese Chriss,2022,2022,chrisma01
Doug Christie,2006,2006,chrisdo01
Gian Clavell,2018,2018,clavegi01
Antonius Cleveland,2018,2020,clevean01
Kyle Collinsworth,2018,2018,colliky01
Darren Collison,2013,2013,collida01
Quinn Cook,2017,2017,cookqu01
Wayne Cooper,1982,1982,coopewa01
Austin Croshere,2007,2007,croshau01
Jae Crowder,2013,2015,crowdja01
Pat Cummings,1983,1984,cummipa01
Jared Cunningham,2013,2013,cunnija01
Radisav Ćurčić,1993,1993,curcira01
Bill Curley,2001,2001,curlebi01
Eddy Curry,2013,2013,curryed01
Seth Curry,2017,2020,curryse01
Samuel Dalembert,2014,2014,dalemsa01
Erick Dampier,2005,2010,dampier01
Marquis Daniels,2004,2006,daniema01
Sasha Danilović,1997,1997,danilsa01
Adrian Dantley,1989,1990,dantlad01
Brad Davis,1981,1992,davisbr01
Hubert Davis,1998,2001,davishu01
Monti Davis,1981,1981,davismo01
Terry Davis,1992,1996,daviste01
Tony Delk,2004,2004,delkto01
Justin Dentmon,2013,2013,dentmju01
Dan Dickau,2005,2005,dickada01
Spencer Dinwiddie,2022,2023,dinwisp01
DeSagana Diop,2006,2009,diopde01
James Donaldson,1986,1992,donalja01
Luka Dončić,2019,2023,doncilu01
Tyler Dorsey,2023,2023,dorsety01
Chris Douglas-Roberts,2013,2013,douglch01
Greg Dreiling,1994,1997,dreilgr01
Ralph Drollinger,1981,1981,drollra01
Terry Duerod,1981,1981,duerote01
Tony Dumas,1995,1997,dumasto01
Howard Eisley,2001,2001,eisleho01
Obinna Ekezie,2001,2001,ekeziob01
Wayne Ellington,2014,2014,ellinwa01
Dale Ellis,1984,1986,ellisda01
Monta Ellis,2014,2015,ellismo01
Alex English,1991,1991,englial01
