Player,From,To,PlayerId
Mahmoud Abdul-Rauf,1991,1996,abdulma02
Tariq Abdul-Wahad,2000,2002,abdulta01
Michael Adams,1988,1991,adamsmi01
Arron Afflalo,2010,2015,afflaar01
DeVaughn Akoon-Purcell,2019,2019,akoonde01
Mark Alarie,1987,1987,alarima01
Cory Alexander,1998,2000,alexaco01
Jerome Allen,1997,1997,allenje01
Malik Allen,2010,2010,allenma01
Chris Andersen,2002,2012,anderch01
Cliff Anderson,1970,1970,andercl01
Dwight Anderson,1983,1983,anderdw01
Greg Anderson,1991,1992,andergr01
Richard Anderson,1984,1984,anderri01
Carmelo Anthony,2004,2011,anthoca01
Carlos Arroyo,2002,2002,arroyca01
Darrell Arthur,2014,2018,arthuda01
Vincent Askew,1997,1997,askewvi01
Chucky Atkins,2008,2009,atkinch01
D.J. Augustin,2016,2016,augusdj01
Renaldo Balkman,2009,2011,balkmre01
John Barnhill,1971,1971,barnhjo01
Jon Barry,2004,2004,barryjo01
Will Barton,2015,2022,bartowi01
Mengke Bateer,2002,2002,bateeme01
Keita Bates-Diop,2020,2020,bateske01
Tony Battie,1998,1998,battito01
Kenny Battle,1991,1991,battlke01
Malik Beasley,2017,2020,beaslma01
Byron Beck,1968,1977,beckby01
Art Becker,1971,1972,beckear01
Elmer Bennett,1997,1997,benneel01
Chauncey Billups,1999,2011,billuch01
Steve Blake,2007,2007,blakest01
Mark Blount,2003,2003,blounma01
Bol Bol,2020,2022,bolbo01
Melvin Booker,1997,1997,bookeme01
Tom Boswell,1979,1980,bosweto01
Ryan Bowen,2000,2004,bowenry01
Tommie Bowens,1968,1968,bowento01
Earl Boykins,2004,2007,boykiea01
Jim Bradley,1976,1976,bradlji01
Christian Braun,2023,2023,braunch01
Corey Brewer,2012,2013,breweco01
Aaron Brooks,2014,2014,brookaa01
Kevin Brooks,1992,1994,brookke01
Michael Brooks,1988,1988,brookmi01
Bruce Brown,2023,2023,brownbr01
Devin Brown,2003,2003,brownde02
Larry Brown,1971,1972,brownla01
Roger Brown,1976,1976,brownro02
Mark Bryant,2003,2003,bryanma01
Thomas Bryant,2023,2023,bryanth01
Greg Buckner,2005,2006,buckngr01
Larry Bunce,1969,1969,buncela01
David Burns,1982,1982,burnsda01
David Bustion,1973,1973,bustida01
Kentavious Caldwell-Pope,2023,2023,caldwke01
Mack Calvin,1975,1978,calvima01
Marcus Camby,2003,2008,cambyma01
Facundo Campazzo,2021,2022,campafa01
Vlatko Čančar,2020,2023,cancavl01
Larry Cannon,1971,1971,cannola01
Frank Card,1972,1973,cardfr01
DeMarre Carroll,2012,2012,carrode01
Joe Barry Carroll,1990,1990,carrojo01
Anthony Carter,2007,2011,cartean01
Howard Carter,1984,1984,carteho01
Wilson Chandler,2011,2018,chandwi01
Wayne Chapman,1971,1971,chapmwa01
Calbert Cheaney,2001,2002,cheanca01
Gary Clark,2021,2021,clarkga01
Ian Clark,2015,2015,clarkia01
Keon Clark,1999,2001,clarkke01
Jeff Congdon,1968,1970,congdje01
Anthony Cook,1991,1992,cookan01
Darwin Cook,1989,1989,cookda01
Norm Cook,1978,1978,cookno01
Tyler Cook,2020,2020,cookty01
Wayne Cooper,1985,1989,coopewa01
Petr Cornelie,2022,2022,cornepe01
DeMarcus Cousins,2022,2022,couside01
Torrey Craig,2018,2020,craigto01
Geoff Crompton,1979,1979,crompge01
John Crotty,2003,2003,crottjo01
Rastko Cvetković,1996,1996,cvetkra01
Troy Daniels,2020,2020,danietr01
Terry Davis,2001,2001,daviste01
Walter Davis,1989,1992,daviswa03
Bison Dele,1994,1995,delebi01
Kenny Dennard,1984,1984,dennake01
Yakhouba Diawara,2007,2008,diawaya01
Michael Doleac,2004,2004,doleami01
Jacky Dorsey,1978,1978,dorseja01
PJ Dozier,2020,2022,doziepj01
T.R. Dunn,1981,1991,dunntr01
Keith Edmonson,1984,1984,edmonke01
Howard Eisley,2006,2006,eisleho01
Bo Ellis,1978,1980,ellisbo02
Dale Ellis,1995,1997,ellisda01
Harold Ellis,1998,1998,ellisha01
LaPhonso Ellis,1993,1998,ellisla01
Francisco Elson,2004,2006,elsonfr01
Melvin Ely,2011,2011,elyme01
Wayne Engelstad,1989,1989,englewa01
Alex English,1980,1990,englial01
James Ennis III,2022,2022,ennisja01
Mike Evans,1983,1988,evansmi01
Reggie Evans,2006,2007,evansre01
John Fairchild,1969,1969,faircjo01
Kenneth Faried,2012,2018,farieke01
Jim Farmer,1991,1994,farmeji01
Raymond Felton,2011,2011,feltora01
Rudy Fernández,2012,2012,fernaru01
Matt Fish,1996,1996,fishma01
Luis Flores,2005,2005,florelu01
Bryn Forbes,2022,2022,forbebr01
Gary Forbes,2011,2011,forbega01
Danny Fortson,1998,1999,fortsda01
Jimmy Foster,1976,1976,fosteja01
Evan Fournier,2013,2014,fournev01
Randy Foye,2014,2016,foyera01
Jamaal Franklin,2015,2015,frankja01
Corey Gaines,1991,1991,gaineco01
Danilo Gallinari,2011,2017,gallida01
Chuck Gardner,1968,1968,gardnch01
Gary Garland,1980,1980,garlaga01
Winston Garland,1992,1992,garlawi01
Dean Garrett,1998,1998,garrede01
Kiwane Lemorris Garris,1998,1998,garriki01
Chris Gatling,2000,2000,gatlich01
Alonzo Gee,2015,2017,geeal01
Gus Gerard,1976,1977,gerargu01
Anthony Goldwire,1997,2001,goldwan01
Glen Gondrezick,1980,1983,gondrgl01
Brandon Goodwin,2019,2019,goodwbr01
Aaron Gordon,2021,2023,gordoaa01
Joey Graham,2010,2010,grahajo01
Greg Grant,1995,1996,grantgr01
Jerami Grant,2020,2020,grantje01
Erick Green,2015,2016,greener01
JaMychal Green,2021,2022,greenja01
Jeff Green,2022,2023,greenje02
Mike Green,1974,1975,greenmi01
Taurean Green,2008,2008,greenta01
Dave Greenwood,1989,1989,greenda01
Darvin Ham,1997,1997,hamda01
Jordan Hamilton,2012,2014,hamiljo02
Zendon Hamilton,2002,2002,hamilze01
Julian Hammond,1968,1972,hammoju01
Tom Hammonds,1993,1997,hammoto01
R.J. Hampton,2021,2021,hamptrj01
Bill Hanzlik,1983,1990,hanzlbi01
Tim Hardaway,2002,2002,hardati01
Adam Harrington,2003,2003,harriad01
Al Harrington,2011,2012,harrial01
Junior Harrington,2003,2003,harriju01
Devin Harris,2018,2018,harride01
Gary Harris,2015,2021,harriga01
Shaquille Harrison,2021,2021,harrish01
Jason Hart,2009,2009,hartja01
Isaiah Hartenstein,2021,2021,harteis01
Donnell Harvey,2002,2003,harvedo01
Scott Hastings,1992,1993,hastisc01
Spencer Haywood,1970,1970,haywosp01
Juancho Hernangómez,2017,2020,hernaju01
Chris Herren,2000,2000,herrech01
Carl Herrera,1999,1999,herreca01
Dan Hester,1971,1971,hesteda01
Roy Hibbert,2017,2017,hibbero01
Phil Hicks,1979,1979,hicksph01
J.J. Hickson,2014,2016,hicksjj01
Mike Higgins,1990,1990,higgimi01
Kenny Higgs,1981,1982,higgske01
Wayne Hightower,1968,1969,hightwa01
Nenê,2003,2012,hilarne01
Darnell Hillman,1978,1978,hillmda01
Julius Hodge,2006,2007,hodgeju01
Tom Hoover,1968,1968,hooveto01
Cedrick Hordges,1981,1982,hordgce01
Ron Horn,1968,1968,hornro01
Juwan Howard,2002,2009,howarju01
Markus Howard,2021,2022,howarma02
Eddie Hughes,1989,1990,hugheed01
Kim Hughes,1979,1981,hugheki01
Steven Hunter,2008,2008,huntest01
Bones Hyland,2022,2023,hylanbo01
Andre Iguodala,2013,2013,iguodan01
George Irvine,1976,1976,irvinge01
Dan Issel,1976,1985,isselda01
Allen Iverson,2007,2009,iversal01
Warren Jabali,1973,1974,jabalwa01
Bobby Jackson,1998,1998,jacksbo01
Mark Jackson,1997,1997,jacksma01
Reggie Jackson,2023,2023,jacksre01
Richard Jefferson,2018,2018,jefferi01
Avery Johnson,1991,2002,johnsav01
DerMarr Johnson,2005,2007,johnsde03
Ervin Johnson,1997,1997,johnser02
George Johnson,1980,1980,johnsge03
Nikola Jokić,2016,2023,jokicni01
Bobby Jones,1975,1978,jonesbo01
Bobby Jones,2008,2008,jonesbo02
Carlik Jones,2022,2022,jonesca03
Dahntay Jones,2009,2009,jonesda02
Larry Jones,1968,1970,jonesla01
Popeye Jones,2000,2000,jonespo01
Steve Jones,1974,1974,jonesst01
Adonis Jordan,1994,1994,jordaad01
DeAndre Jordan,2023,2023,jordade01
Garth Joseph,2001,2001,josepga01
Rich Kelley,1983,1983,kelleri01
Tim Kempton,1990,1990,kemptti01
Julius Keye,1970,1974,keyeju01
Sean Kilpatrick,2016,2016,kilpase01
Jimmy King,1997,1997,kingji02
Linas Kleiza,2006,2009,kleizli01
Joe Kopicki,1985,1985,kopicjo01
Kosta Koufos,2011,2013,koufoko01
Arvid Kramer,1980,1980,kramear01
John Kuester,1979,1979,kuestjo01
Raef LaFrentz,1999,2002,lafrera01
Tom LaGarde,1978,1978,lagarto01
Jerome Lane,1989,1992,laneje01
Priest Lauderdale,1998,1998,laudepr01
Joffrey Lauvergne,2015,2016,lauvejo01
Ty Lawson,2010,2015,lawsoty01
Tim Legler,1991,1991,legleti01
Voshon Lenard,2001,2006,lenarvo01
Fat Lever,1985,1990,leverfa01
Cliff Levingston,1995,1995,levincl01
Marcus Liberty,1991,1994,liberma01
Todd Lichti,1990,1993,lichtto01
Willie Long,1973,1974,longwi01
Tyler Lydon,2018,2019,lydonty01
Trey Lyles,2018,2019,lylestr01
R.B. Lynam,1968,1968,lynamrb01
Lonnie Lynn,1970,1970,lynnlo01
Don MacLean,1996,1996,macledo01
Mark Macon,1992,1994,maconma01
Roy Marble,1994,1994,marblro01
Šarūnas Marčiulionis,1997,1997,marcisa01
Kenyon Martin,2005,2011,martike01
Maurice Martin,1987,1988,martima01
Anthony Mason,1991,1991,masonan01
Kelly McCarty,1999,1999,mccarke01
Ted McClain,1977,1977,mcclate01
Dan McClintock,2001,2001,mcclida01
George McCloud,2000,2002,mccloge01
Jelani McCoy,2008,2008,mccoyje01
Antonio McDyess,1996,2002,mcdyean01
Pat McFarland,1974,1975,mcfarpa01
JaVale McGee,2012,2021,mcgeeja01
Bill McGill,1969,1969,mcgilbi01
George McGinnis,1979,1980,mcginge01
Jeff McInnis,1997,1997,mcinnje01
Billy McKinney,1981,1983,mckinbi01
Jordan McRae,2020,2020,mcraejo01
Darnell Mee,1994,1995,meeda01
Ron Mercer,2000,2000,mercero01
Loren Meyer,1999,1999,meyerlo01
Andre Miller,2004,2014,millean02
Mike Miller,2016,2017,millemi01
Quincy Miller,2013,2014,millequ01
Terry Mills,1991,1991,millste01
Paul Millsap,2018,2021,millspa01
Steve Mix,1972,1972,mixst01
Andre Moore,1988,1988,moorean01
Richie Moore,1968,1968,mooreri01
Monte Morris,2018,2022,morrimo01
John Morrison,1968,1968,morrijo01
Timofey Mozgov,2011,2015,mozgoti01
Emmanuel Mudiay,2016,2018,mudiaem01
Eric Murdock,1997,1997,murdoer01
Jamal Murray,2017,2023,murraja01
Tracy Murray,2001,2001,murratr01
Willie Murrell,1968,1968,murrewi01
Dikembe Mutombo,1992,1996,mutomdi01
Eduardo Nájera,2005,2008,najered01
Calvin Natt,1985,1989,nattca01
Craig Neal,1991,1991,nealcr01
Jameer Nelson,2015,2017,nelsoja01
Johnny Newman,1998,1998,newmajo01
Carl Nicks,1981,1981,nicksca01
Zeke Nnaji,2021,2023,nnajize01
Jusuf Nurkić,2015,2017,nurkiju01
