Player,From,To,PlayerId
Alex Acker,2006,2009,ackeral01
Don Adams,1973,1975,adamsdo01
Rafael Addison,1995,1995,addisra01
Arron Afflalo,2008,2009,afflaar01
Mark Aguirre,1989,1993,aguirma01
Gary Alcorn,1960,1960,alcorga01
Victor Alexander,2002,2002,alexavi01
Greg Anderson,1994,1994,andergr01
Joel Anthony,2015,2016,anthojo01
Curly Armstrong,1949,1951,armstcu01
Jesse Arnelle,1956,1956,arnelje01
Carlos Arroyo,2005,2006,arroyca01
Dick Atha,1958,1958,athadi01
Chucky Atkins,2001,2010,atkinch01
Stacey Augmon,1997,1997,augmost01
D.J. Augustin,2015,2015,augusdj01
Ken Austin,1984,1984,austike01
Marvin Bagley III,2022,2023,baglema01
Steve Bardo,1996,1996,bardost01
Marvin Barnes,1977,1978,barnema01
John Barnhill,1966,1966,barnhjo01
Leo Barnhorst,1954,1954,barnhle01
Dana Barros,2001,2002,barroda01
Jon Barry,2002,2003,barryjo01
Aron Baynes,2016,2017,baynear01
Corey Beck,1999,1999,beckco01
William Bedford,1988,1992,bedfowi01
Ron Behagen,1979,1979,behagro01
Walt Bellamy,1969,1970,bellawa01
Kent Benson,1980,1986,bensoke01
Saddiq Bey,2021,2023,beysa01
Don Bielke,1956,1956,bielkdo01
Chauncey Billups,2003,2014,billuch01
Dave Bing,1967,1975,bingda01
Charlie Black,1949,1950,blackch01
Norman Black,1981,1981,blackno01
Steve Blake,2016,2016,blakest01
Will Blalock,2007,2007,blalowi01
Lance Blanks,1991,1992,blankla01
Buddy Boeheim,2023,2023,boehebu01
Bojan Bogdanović,2023,2023,bogdabo02
Doug Bolstorff,1958,1958,bolstdo01
Walter Bond,1995,1995,bondwa01
Jordan Bone,2020,2020,bonejo01
Jim Bostic,1978,1978,bostiji01
Don Boven,1953,1953,bovendo01
Dennis Boyd,1979,1979,boydde01
Avery Bradley,2018,2018,bradlav01
Jim Brewer,1979,1979,breweji01
Primož Brezec,2008,2008,brezepr01
Frankie Brian,1952,1956,brianfr01
Wayman Britt,1978,1978,brittwa01
Bruce Brown,2019,2020,brownbr01
Kwame Brown,2009,2010,brownkw01
Marcus Brown,2000,2000,brownma01
Roger Brown,1976,1977,brownro02
Jud Buechler,1999,2001,buechju01
Reggie Bullock,2016,2019,bullore01
Bill Buntin,1966,1966,buntibi01
Alec Burks,2023,2023,burksal01
Art Burris,1951,1952,burriar01
Donnie Butcher,1964,1966,butchdo01
Caron Butler,2015,2015,butleca01
Dwight Buycks,2018,2018,buyckdw01
Will Bynum,2009,2014,bynumwi01
Barney Cable,1959,1960,cableba01
José Calderón,2013,2019,caldejo01
Joe Caldwell,1965,1966,caldwjo01
Kentavious Caldwell-Pope,2014,2017,caldwke01
Elden Campbell,2004,2005,campbel01
Tony Campbell,1985,1987,campbto01
Brian Cardinal,2001,2002,cardibr01
Bob Carpenter,1950,1951,carpebo01
Kenny Carr,1982,1982,carrke01
M.L. Carr,1977,1979,carrml01
George Carter,1968,1968,cartege01
Cornelius Cash,1977,1977,cashco01
Kelvin Cato,2006,2006,catoke01
Cedric Ceballos,2001,2001,cebalce01
Len Chappell,1968,1968,chapple01
Pete Chilcutt,1994,1994,chilcpe01
Randolph Childress,1997,1997,childra01
Archie Clark,1976,1976,clarkar01
Mateen Cleaves,2001,2001,cleavma01
Nat Clifton,1958,1958,cliftna01
Bill Closs,1952,1952,clossbi01
Ben Coleman,1994,1994,colembe01
Derrick Coleman,2005,2005,colemde01
Ed Conlin,1959,1960,conlied01
Tyler Cook,2021,2021,cookty01
Chuck Cooper,1956,1956,coopech01
Ray Corley,1953,1953,corlera01
Ron Crevier,1986,1986,creviro01
Dillard Crocker,1949,1949,crockdi01
John Crotty,2000,2000,crottjo01
Cade Cunningham,2022,2023,cunnica01
Earl Cureton,1984,1986,curetea01
Bill Curley,1995,1995,curlebi01
Michael Curry,1996,2003,currymi01
Adrian Dantley,1987,1989,dantlad01
Gigi Datome,2014,2015,datomlu01
Kornél Dávid,2001,2001,davidko01
Dale Davis,2006,2007,davisda01
Hubert Davis,2003,2004,davishu01
Jim Davis,1972,1975,davisji01
Darryl Dawkins,1988,1989,dawkida01
Johnny Dawkins,1995,1995,dawkijo01
Austin Daye,2010,2013,dayeau01
Dave DeBusschere,1963,1969,debusda01
Archie Dees,1960,1961,deesar01
Bison Dele,1998,1999,delebi01
Carlos Delfino,2005,2007,delfica01
Tony Delk,2006,2006,delkto01
Fennis Dembo,1989,1989,dembofe01
Corky Devlin,1956,1957,devlico01
Cheick Diallo,2022,2022,diallch01
Hamidou Diallo,2021,2023,diallha01
Henry Dickerson,1976,1976,dickehe01
Spencer Dinwiddie,2015,2016,dinwisp01
Terry Dischinger,1965,1972,dischte01
Juan Dixon,2008,2008,dixonju01
Leon Douglas,1977,1980,douglle01
Sekou Doumbouya,2020,2021,doumbse01
Sonny Dove,1968,1969,doveso01
Danny Doyle,1963,1963,doyleda01
Larry Drew,1981,1981,drewla01
Terry Driscoll,1971,1971,driscte01
Andre Drummond,2013,2020,drumman01
Terry Duerod,1980,1980,duerote01
Bob Duffy,1964,1965,duffybo02
Walter Dukes,1958,1963,dukeswa01
Joe Dumars,1986,1999,dumarjo01
Ronald Dupree,2005,2008,duprero01
Jalen Duren,2023,2023,durenja01
Bill Ebben,1958,1958,ebbenbi01
Al Eberhard,1975,1978,eberhal01
Dike Eddleman,1952,1953,eddledi01
Carsen Edwards,2022,2022,edwarca01
James Edwards,1988,1991,edwarja01
Johnny Egan,1962,1964,eganjo01
Henry Ellenson,2017,2019,ellenhe01
Wayne Ellington,2019,2021,ellinwa01
Sean Elliott,1994,1994,elliose01
Kim English,2013,2013,engliki01
James Ennis III,2018,2018,ennisja01
Earl Evans,1980,1980,evansea01
Maurice Evans,2006,2006,evansma01
Dick Farley,1959,1959,farledi01
Kay Felder,2018,2018,feldeka01
Jake Fendley,1952,1953,fendlja01
Bob Ferry,1961,1964,ferrybo01
Chris Ford,1973,1979,fordch01
Fred Foster,1973,1973,fostefr01
Larry Foust,1951,1957,foustla01
Tremaine Fowlkes,2004,2004,fowlktr01
Jim Fox,1968,1969,foxji01
Tim Frazier,2020,2020,fraziti01
Jim Fritsche,1955,1955,fritsji01
Tony Fuller,1981,1981,fulleto01
Harry Gallatin,1958,1958,gallaha01
Langston Galloway,2018,2020,gallola01
Dave Gambee,1969,1969,gambeda01
Luka Garza,2022,2022,garzalu01
Michael Gbinije,2017,2017,gbinimi01
Gus Gerard,1978,1979,gerargu01
Mike Gibson,1986,1986,gibsomi01
Gerald Glass,1993,1993,glassge01
Anthony Goldwire,2005,2005,goldwan01
Ben Gordon,2010,2012,gordobe01
Jerami Grant,2021,2022,grantje01
Litterial Green,1997,1997,greenli01
Rickey Green,1979,1979,greenri01
Sidney Green,1987,1987,greensi02
Dave Greenwood,1990,1990,greenda01
Blake Griffin,2018,2021,griffbl01
Dick Groat,1953,1953,groatdi01
Glenn Hagan,1982,1982,hagangl01
Happy Hairston,1968,1970,hairsha01
Lindsay Hairston,1976,1976,hairsli01
