Player,From,To,PlayerId
Tom Abernethy,1979,1981,abernto01
Jeff Adrien,2011,2011,adrieje01
Chuck Aleksinas,1985,1985,aleksch01
Victor Alexander,1992,1995,alexavi01
Steve Alford,1989,1989,alforst01
Bob Allen,1969,1969,allenbo01
Odis Allison,1972,1972,allisod01
Lou Amundson,2011,2011,amundlo01
Gilbert Arenas,2002,2003,arenagi01
Paul Arizin,1951,1962,arizipa01
B.J. Armstrong,1996,1998,armstbj01
Bob Armstrong,1957,1957,armstbo01
Hilton Armstrong,2014,2014,armsthi01
Vincent Askew,1991,1992,askewvi01
Al Attles,1961,1971,attleal01
Kelenna Azubuike,2007,2010,azubuke01
Patrick Baldwin Jr.,2023,2023,baldwpa01
Greg Ballard,1986,1987,ballagr01
Leandro Barbosa,2015,2016,barbole01
Harrison Barnes,2013,2016,barneha02
Matt Barnes,2007,2017,barnema02
Jim Barnett,1972,1974,barneji02
Earl Barron,2012,2012,barroea01
Drew Barry,2000,2000,barrydr01
Jon Barry,1996,1996,barryjo01
Rick Barry,1966,1978,barryri01
Vic Bartolome,1972,1972,bartovi01
Kenny Battle,1992,1992,battlke01
Kent Bazemore,2013,2021,bazemke01
Butch Beard,1974,1975,beardbu01
Ernie Beck,1954,1960,becker01
Hank Beenders,1948,1948,beendha01
Marco Belinelli,2008,2009,belinma01
Charlie Bell,2011,2011,bellch01
Jordan Bell,2018,2021,belljo01
Raja Bell,2010,2010,bellra01
Dragan Bender,2020,2020,bendedr01
Keith Benson,2012,2012,bensoke02
Andris Biedriņš,2005,2013,biedran01
Gale Bishop,1949,1949,bishoga01
Nemanja Bjelica,2022,2022,bjeline01
Uwe Blab,1990,1990,blabuw01
Steve Blake,2014,2014,blakest01
Mookie Blaylock,2000,2002,blaylmo01
Corie Blount,2001,2001,blounco01
Nelson Bobb,1950,1953,bobbne01
Muggsy Bogues,1998,1999,boguemu01
Andrew Bogut,2013,2019,bogutan01
Manute Bol,1989,1995,bolma01
Melvin Booker,1997,1997,bookeme01
Jake Bornheimer,1949,1950,bornhja01
Ike Borsavage,1951,1951,borsaik01
Chris Boucher,2018,2018,bouchch01
Ky Bowman,2020,2020,bowmaky01
Earl Boykins,2003,2003,boykiea01
Steve Bracey,1975,1975,bracest01
Mike Bratz,1984,1985,bratzmi01
J.R. Bremer,2004,2004,bremejr01
Tom Brennan,1955,1955,brennto01
Ron Brewer,1983,1984,brewero01
Bill Bridges,1975,1975,bridgbi01
MarShon Brooks,2014,2014,brookma01
Chucky Brown,2001,2001,brownch01
Kwame Brown,2012,2012,brownkw01
Rickey Brown,1981,1983,brownri01
Stan Brown,1948,1952,brownst01
Walt Budko,1952,1952,budkowa01
Jud Buechler,1992,1994,buechju01
Alec Burks,2020,2020,burksal01
Scott Burrell,1997,1997,burresc01
Steve Burtt,1985,1985,burttst01
Will Bynum,2006,2006,bynumwi01
Žarko Čabarkapa,2005,2006,cabarza01
Jason Caffey,1998,2000,caffeja01
Brian Cardinal,2004,2004,cardibr01
Rodney Carney,2011,2011,carnero01
Chris Carr,2000,2000,carrch01
Joe Barry Carroll,1981,1988,carrojo01
Omri Casspi,2018,2018,casspom01
Willie Cauley-Stein,2020,2020,caulewi01
Wilt Chamberlain,1960,1965,chambwi01
Calbert Cheaney,2004,2006,cheanca01
Phil Chenier,1981,1981,cheniph01
Chris Chiozza,2022,2022,chiozch01
Marquese Chriss,2020,2021,chrisma01
Robert Churchwell,1996,1996,churcro01
Ian Clark,2016,2017,clarkia01
Speedy Claxton,2004,2005,claxtsp01
Bill Closs,1951,1951,clossbi01
John Coker,2001,2001,cokerjo01
E.C. Coleman,1978,1978,colemec01
Bimbo Coles,1996,1999,colesbi01
Don Collins,1984,1984,collido02
Ed Conlin,1961,1962,conlied01
Lester Conner,1983,1986,connele01
Quinn Cook,2018,2019,cookqu01
Wayne Cooper,1979,1980,coopewa01
Larry Costello,1955,1957,costela01
John Coughran,1980,1980,coughjo01
Joe Courtney,1993,1993,courtjo01
DeMarcus Cousins,2019,2019,couside01
Wesley Cox,1978,1979,coxwe01
Jamal Crawford,2009,2009,crawfja01
Jordan Crawford,2014,2014,crawfjo02
Ron Crevier,1986,1986,creviro01
Austin Croshere,2008,2008,croshau01
Russell Cross,1984,1984,crossru01
Chink Crossin,1948,1950,crossch01
Terry Cummings,1999,2000,cummite01
Vonteego Cummings,2000,2001,cummivo01
Bill Curley,2000,2001,curlebi01
Stephen Curry,2010,2023,curryst01
Ed Dahler,1952,1952,dahleed01
Howie Dallmar,1947,1949,dallmho01
Erick Dampier,1998,2004,dampier01
Jermareo Davidson,2009,2009,davidje01
Baron Davis,2005,2008,davisba01
Dale Davis,2005,2005,davisda01
Dwight Davis,1976,1977,davisdw01
Mark Davis,2000,2000,davisma02
Walt Davis,1954,1958,daviswa01
Andrew DeClercq,1996,1997,declean01
Dewayne Dedmon,2014,2014,dedmode01
Vinny Del Negro,2001,2001,delnevi01
Tony Delk,1998,1999,delkto01
Dell Demps,1994,1994,dempsde01
George Dempsey,1955,1959,dempsge01
Marcus Derrickson,2019,2019,derrima01
Derrek Dickey,1974,1978,dickede01
Connie Dierking,1965,1965,dierkco01
Ike Diogu,2006,2007,dioguik01
Donte DiVincenzo,2023,2023,divindo01
Toney Douglas,2014,2014,douglto01
Jeff Dowtin,2022,2022,dowtije01
Charles Dudley,1975,1978,dudlech01
Terry Duerod,1983,1983,duerote01
Mike Dunleavy,2003,2007,dunlemi02
Pat Dunn,1958,1958,dunnpa01
Kevin Durant,2017,2019,duranke01
Pat Durham,1993,1993,durhapa01
Mario Elie,1991,1992,eliema01
Joe Ellis,1967,1974,ellisjo01
Monta Ellis,2006,2012,ellismo01
Chris Engler,1983,1984,englech01
Ray Epps,1979,1979,eppsra01
Keith Erickson,1966,1966,erickke01
Jacob Evans,2019,2020,evansja02
Festus Ezeli,2013,2016,ezelife01
Phil Farbman,1949,1949,farbmph01
Tony Farmer,2000,2000,farmeto01
Dave Fedor,1963,1963,fedorda01
Dave Feitl,1988,1988,feitlda01
Duane Ferrell,1998,1999,ferredu01
Danny Finn,1953,1955,finnda01
Derek Fisher,2005,2006,fishede01
Jerry Fleishman,1947,1953,fleisje01
Luis Flores,2005,2005,florelu01
Sleepy Floyd,1983,1988,floydsl01
Levi Fontaine,1971,1971,fontale01
Danny Fortson,2001,2003,fortsda01
Adonal Foyle,1998,2007,foylead01
Tellis Frank,1988,1989,frankte01
