Player,From,To,PlayerId
Zaid Abdul-Aziz,1973,1978,abdulza01
Mark Acres,1993,1993,acresma01
Bud Acton,1968,1968,actonbu01
Don Adams,1971,1972,adamsdo01
Rick Adelman,1969,1970,adelmri01
Jeff Adrien,2012,2012,adrieje01
Cole Aldrich,2013,2013,aldrico01
Rafer Alston,2006,2009,alstora01
David Andersen,2010,2010,anderda03
Derek Anderson,2006,2006,anderde01
James Anderson,2013,2013,anderja01
Richard Anderson,1987,1988,anderri01
Ryan Anderson,2017,2020,anderry01
Shandon Anderson,2000,2001,andersh01
Carmelo Anthony,2019,2019,anthoca01
Trevor Ariza,2010,2018,arizatr01
Hilton Armstrong,2010,2010,armsthi01
Ömer Aşık,2013,2014,asikom01
D.J. Augustin,2021,2022,augusdj01
Gus Bailey,1975,1976,bailegu01
James Bailey,1983,1984,baileja01
Vin Baker,2005,2005,bakervi01
Tom Barker,1979,1979,barketo01
Charles Barkley,1997,2000,barklch01
Harry Barnes,1969,1969,barneha01
Jim Barnett,1968,1970,barneji02
John Barnhill,1968,1968,barnhjo01
Andre Barrett,2005,2005,barrean01
Brent Barry,2009,2009,barrybr01
Jon Barry,2005,2006,barryjo01
Rick Barry,1979,1980,barryri01
Shane Battier,2007,2011,battish01
Lonny Baxter,2006,2006,baxtelo01
Michael Beasley,2016,2016,beaslmi01
Ron Behagen,1978,1978,behagro01
Elmer Bennett,1997,1997,benneel01
Walter Berry,1989,1989,berrywa01
Patrick Beverley,2013,2017,beverpa01
Tarik Black,2015,2018,blackta01
John Block,1968,1971,blockjo01
Keith Bogans,2006,2006,boganke01
Phil Bond,1978,1978,bondph01
Melvin Booker,1996,1996,bookeme01
Ryan Bowen,2005,2006,bowenry01
Anthony Bowie,1990,1990,bowiean01
Earl Boykins,2012,2012,boykiea01
Alonzo Bradley,1978,1980,bradlal01
Avery Bradley,2021,2021,bradlav01
Torraye Braggs,2004,2005,braggto01
Tim Breaux,1995,1996,breauti01
Corey Brewer,2015,2017,breweco01
Ronnie Brewer,2014,2014,brewero02
Tyrone Britt,1968,1968,brittty01
Aaron Brooks,2008,2014,brookaa01
Armoni Brooks,2021,2022,brookar01
Scott Brooks,1993,1995,brooksc01
Bobby Brown,2017,2018,brownbo02
Chucky Brown,1995,1996,brownch01
Markel Brown,2018,2018,brownma02
Sterling Brown,2021,2021,brownst02
Tierre Brown,2002,2002,brownti01
Tony Brown,1989,1989,brownto01
Rick Brunson,2006,2006,brunsri01
Joe Bryant,1983,1983,bryanjo01
Mark Bryant,1996,1996,bryanma01
Chase Budinger,2010,2012,budinch01
Matt Bullard,1991,2001,bullama01
Bruno Caboclo,2020,2021,cabocbr01
Adrian Caldwell,1990,1995,caldwad01
Marcus Camby,2012,2012,cambyma01
Isaiah Canaan,2014,2018,canaais01
Clint Capela,2015,2020,capelca01
Antoine Carr,1999,1999,carran01
DeMarre Carroll,2011,2020,carrode01
Joe Barry Carroll,1988,1988,carrojo01
Michael Carter-Williams,2019,2019,cartemi01
Sam Cassell,1994,1996,cassesa01
Omri Casspi,2014,2014,casspom01
Kelvin Cato,2000,2004,catoke01
Tyson Chandler,2020,2020,chandty01
Derrick Chievous,1989,1990,chievde01
Pete Chilcutt,1995,1996,chilcpe01
Chris Chiozza,2019,2019,chiozch01
Marquese Chriss,2019,2019,chrisma01
Josh Christopher,2022,2023,chrisjo01
Gary Clark,2019,2020,clarkga01
Chris Clemons,2020,2020,clemoch01
E.C. Coleman,1974,1979,colemec01
Jason Collier,2001,2003,collija02
Sean Colson,2001,2001,colsose01
Lester Conner,1988,1988,connele01
Will Conroy,2010,2010,conrowi01
Brian Cook,2009,2010,cookbr01
Daequan Cook,2013,2013,cookda02
DeMarcus Cousins,2021,2021,couside01
Robert Covington,2014,2020,covinro01
Dick Cunningham,1972,1972,cunnidi01
Earl Cureton,1994,1994,curetea01
Bill Curley,2000,2000,curlebi01
Samuel Dalembert,2012,2012,dalemsa01
Troy Daniels,2014,2015,danietr01
Emanual Davis,1997,1998,davisem01
Jim Davis,1972,1972,davisji01
Josh Davis,2006,2006,davisjo02
Darius Days,2023,2023,daysda01
Sam Dekker,2016,2017,dekkesa01
Carlos Delfino,2013,2013,delfica01
Michael Dickerson,1999,1999,dickemi01
Byron Dinkins,1990,1990,dinkiby01
Jacky Dorsey,1979,1979,dorseja01
Joey Dorsey,2009,2015,dorsejo01
Toney Douglas,2013,2013,douglto01
Goran Dragić,2011,2012,dragigo01
Bryce Drew,1999,2000,drewbr01
Clyde Drexler,1995,1998,drexlcl01
Mike Dunleavy,1978,1982,dunlemi01
Tari Eason,2023,2023,easonta01
Vince Edwards,2019,2019,edwarvi01
Johnny Egan,1971,1972,eganjo01
Craig Ehlo,1984,1986,ehlocr01
Mario Elie,1994,1998,eliema01
James Ennis III,2019,2019,ennisja01
Tyler Ennis,2017,2017,ennisty01
Kenneth Faried,2019,2019,farieke01
Dave Feitl,1987,1991,feitlda01
Bruno Fernando,2022,2023,fernabr01
Hank Finkel,1968,1969,finkeha01
Sleepy Floyd,1988,1993,floydsl01
Jonny Flynn,2012,2012,flynnjo01
Alton Ford,2004,2004,fordal02
Phil Ford,1984,1985,fordph01
Courtney Fortson,2012,2012,fortsco01
Richie Frahm,2006,2006,frahmri01
Steve Francis,2000,2008,francst01
Michael Frazier,2020,2020,frazimi01
World B. Free,1988,1988,freewo01
Reece Gaines,2005,2005,gainere01
Dave Gambee,1968,1968,gambeda01
Francisco García,2013,2015,garcifr01
Winston Garland,1993,1993,garlawi01
Calvin Garrett,1981,1983,garreca01
Usman Garuba,2022,2023,garubus01
Dick Gibbs,1972,1973,gibbsdi01
Dan Godfread,1992,1992,godfrda01
Eric Gordon,2017,2023,gordoer01
Andrew Goudelock,2016,2016,goudean01
Stephen Graham,2006,2006,grahast01
Devin Gray,2000,2000,grayde01
Gerald Green,2008,2019,greenge01
Jalen Green,2022,2023,greenja05
Jeff Green,2020,2020,greenje02
Johnny Green,1968,1968,greenjo01
Adrian Griffin,2004,2004,griffad01
Eddie Griffin,2002,2003,griffed01
Matt Guokas,1974,1974,guokama02
Jordan Hamilton,2014,2014,hamiljo02
Thomas Hamilton,2000,2000,hamilth01
James Harden,2013,2021,hardeja01
Montrezl Harrell,2016,2017,harremo01
Othella Harrington,1997,1999,harriot01
Mike Harris,2008,2011,harrimi01
Steve Harris,1986,1988,harrist01
Isaiah Hartenstein,2019,2020,harteis01
Steve Hawes,1975,1976,hawesst01
Juaquin Hawkins,2003,2003,hawkiju01
Chuck Hayes,2006,2016,hayesch01
Elvin Hayes,1969,1984,hayesel01
Luther Head,2006,2009,headlu01
Alvin Heggs,1996,1996,heggsal01
Gerald Henderson,1992,1992,hendege01
Tom Henderson,1980,1983,hendeto01
Conner Henry,1987,1987,henryco01
Carl Herrera,1992,1995,herreca01
Phil Hicks,1977,1977,hicksph01
Nenê,2017,2019,hilarne01
Jordan Hill,2010,2012,hilljo01
Lionel Hollins,1985,1985,hollili01
Robert Horry,1993,1996,horryro01
Danuel House Jr.,2019,2022,houseda01
Dwight Howard,2014,2016,howardw01
Juwan Howard,2005,2007,howarju01
William Howard,2020,2020,howarwi01
Trevor Hudgins,2023,2023,hudgitr01
R.J. Hunter,2018,2018,hunterj01
Aaron Jackson,2018,2018,jacksaa01
Bobby Jackson,2008,2008,jacksbo01
Demetrius Jackson,2018,2018,jacksde01
Jaren Jackson,1996,1996,jacksja01
Jim Jackson,2004,2005,jacksji01
Mark Jackson,2004,2004,jacksma01
Dave Jamerson,1991,1992,jamerda01
Henry James,1996,1996,jameshe01
Mike James,2005,2008,jamesmi01
DaQuan Jeffries,2021,2021,jeffrda01
Jared Jeffries,2010,2011,jeffrja01
Chris Jent,1994,1994,jentch01
Avery Johnson,1992,1992,johnsav01
Buck Johnson,1987,1992,johnsbu01
Eddie Johnson,1997,1999,johnsed03
Frank Johnson,1989,1989,johnsfr01
George Johnson,1973,1974,johnsge01
Joe Johnson,2018,2018,johnsjo02
John Johnson,1976,1978,johnsjo01
Lee Johnson,1981,1981,johnsle01
Nick Johnson,2015,2015,johnsni01
Bobby Jones,2008,2008,jonesbo02
Caldwell Jones,1983,1984,jonesca01
Charles Jones,1995,1998,jonesch01
Dwight Jones,1977,1980,jonesdw01
Major Jones,1980,1984,jonesma01
Mason Jones,2021,2021,jonesma05
Nick Jones,1968,1968,jonesni01
Robin Jones,1978,1978,jonesro01
Terrence Jones,2013,2019,joneste01
Frank Kaminsky,2023,2023,kaminfr01
Goo Kennedy,1977,1977,kennego01
Toby Kimball,1968,1971,kimbato01
Brandin Knight,2005,2005,knighbr02
Brandon Knight,2019,2019,knighbr03
Don Kojis,1968,1970,kojisdo01
Kevin Kunnert,1974,1978,kunneke01
C.J. Kupec,1978,1978,kupeccj01
Rodions Kurucs,2021,2021,kurucro01
Anthony Lamb,2021,2021,lamban01
Maciej Lampe,2006,2006,lampema01
Carl Landry,2008,2010,landrca01
Dan Langhi,2001,2002,langhda01
Stu Lantz,1969,1972,lantzst01
Ty Lawson,2016,2016,lawsoty01
Allen Leavell,1980,1989,leaveal01
Courtney Lee,2011,2012,leeco01
Jeremy Lin,2013,2014,linje01
Randy Livingston,1997,1997,livinra01
Lewis Lloyd,1984,1990,lloydle01
Kyle Lowry,2009,2012,lowryky01
John Lucas,1977,1990,lucasjo01
John Lucas III,2006,2007,lucasjo02
Tyronn Lue,2005,2005,luety01
Scott Machado,2013,2013,machasc01
Sam Mack,1996,1999,macksa01
Tito Maddox,2003,2003,maddoti01
Moses Malone,1977,1982,malonmo01
Matt Maloney,1997,1999,malonma01
Jack Marin,1973,1974,marinja01
Boban Marjanović,2023,2023,marjabo01
Kenyon Martin Jr.,2021,2023,martike04
Kevin Martin,2010,2012,martike02
Tony Massenburg,2000,2000,masseto01
Garrison Mathews,2022,2023,mathega01
Cedric Maxwell,1987,1988,maxwece01
Vernon Maxwell,1990,1995,maxweve01
Luc Mbah a Moute,2018,2020,mbahalu01
Tim McCormick,1989,1990,mccorti01
Paul McCracken,1973,1974,mccrapa01
Rodney McCray,1984,1988,mccraro01
K.J. McDaniels,2015,2017,mcdankj01
Hank McDowell,1985,1986,mcdowha01
Jon McGlocklin,1968,1968,mcglojo01
Tracy McGrady,2005,2010,mcgratr01
Stan McKenzie,1973,1974,mckenst01
Ben McLemore,2020,2021,mclembe01
McCoy McLemore,1972,1972,mclemmc01
Eric McWilliams,1973,1973,mcwiler01
Cliff Meely,1972,1976,meelycl01
Pops Mensah-Bonsu,2010,2010,mensapo01
Joe Meriweather,1976,1976,meriwjo01
Larry Micheaux,1985,1985,michela01
Anthony Miller,1999,2001,millean01
Brad Miller,2011,2011,millebr01
Yao Ming,2003,2011,mingya01
Dirk Minniefield,1987,1987,minnidi01
Cuttino Mobley,1999,2004,moblecu01
Larry Moffett,1978,1978,moffela01
Paul Mokeski,1980,1980,mokespa01
Otto Moore,1973,1974,mooreot01
Tracy Moore,1996,1997,mooretr01
Marcus Morris,2012,2013,morrima03
Terence Morris,2002,2003,morrite01
Donatas Motiejūnas,2013,2016,motiedo01
Calvin Murphy,1971,1983,murphca01
Tracy Murray,1995,1995,murratr01
Dikembe Mutombo,2005,2009,mutomdi01
Boštjan Nachbar,2003,2005,nachbbo01
Chuck Nevitt,1983,1990,nevitch01
Mike Newlin,1972,1979,newlimi01
Daishen Nix,2022,2023,nixda01
Moochie Norris,2000,2006,norrimo01
Steve Novak,2007,2008,novakst01
James Nunnally,2019,2019,nunnaja01
David Nwaba,2021,2022,nwabada01
Charles Oakley,2004,2004,oaklech01
Tim Ohlbrecht,2013,2013,ohlbrti01
Victor Oladipo,2021,2021,oladivi01
Hakeem Olajuwon,1985,2001,olajuha01
Jawann Oldham,1982,1982,oldhaja01
Cameron Oliver,2021,2021,oliveca01
Kelly Olynyk,2021,2021,olynyke01
Chinanu Onuaku,2017,2018,onuakch01
Tom Owens,1977,1977,owensto01
Scott Padgett,2004,2007,padgesc01
Kostas Papanikolaou,2015,2015,papanko01
Chandler Parsons,2012,2014,parsoch01
Patrick Patterson,2011,2013,pattepa01
Justin Patton,2021,2021,pattoju01
Chris Paul,2018,2019,paulch01
Billy Paultz,1980,1983,paultbi01
Curtis Perry,1971,1972,perrycu01
Jim Petersen,1985,1988,peterji01
Richard Petruška,1994,1994,petruri01
Eric Piatkowski,2004,2004,piatker01
Scottie Pippen,1999,1999,pippesc01
Kevin Porter Jr.,2021,2023,porteke02
James Posey,2003,2003,poseyja01
Josh Powell,2014,2014,poweljo01
Brent Price,1997,1999,pricebr01
Pablo Prigioni,2015,2015,prigipa01
Zhou Qi,2018,2019,qizh01
Tim Quarterman,2018,2018,quartti01
Trevelin Queen,2022,2022,queentr01
Ed Ratleff,1974,1978,ratleed01
Eldridge Recasner,1996,1996,recasel01
Robert Reid,1978,1988,reidro01
Cameron Reynolds,2021,2021,reynoca01
Rodrick Rhodes,1998,1999,rhodero01
Glen Rice,2002,2003,ricegl01
Eric Riley,1994,1994,rileyer01
Pat Riley,1968,1970,rileypa01
Ron Riley,1974,1976,rileyro01
Austin Rivers,2019,2020,riverau01
Stanley Roberts,1999,1999,roberst01
Larry Robinson,1994,1994,robinla01
Thomas Robinson,2013,2013,robinth01
Carlos Rogers,2000,2001,rogerca01
Tree Rollins,1992,1993,rollitr01
Ralph Sampson,1984,1988,sampsra01
Dennis Schröder,2022,2022,schrode01
Luis Scola,2008,2012,scolalu01
Thabo Sefolosha,2020,2020,sefolth01
Alperen Şengün,2022,2023,sengual01
Purvis Short,1988,1989,shortpu01
John Shumate,1980,1980,shumajo01
Iman Shumpert,2019,2019,shumpim01
Alexey Shved,2015,2015,shvedal01
Larry Siegfried,1971,1972,siegfla01
Bingo Smith,1970,1970,smithbi02
Greg Smith,1972,1973,smithgr01
Greg Smith,2012,2014,smithgr02
Ish Smith,2011,2011,smithis01
Jabari Smith Jr.,2023,2023,smithja05
Josh Smith,2015,2016,smithjo03
Kenny Smith,1991,1996,smithke01
Larry Smith,1990,1992,smithla01
Kirk Snyder,2007,2008,snydeki01
Ray Spalding,2021,2021,spaldra01
Vassilis Spanoulis,2007,2007,spanova01
Larry Spriggs,1982,1982,sprigla01
Joe Stephens,1997,1998,stephjo01
Rod Strickland,2005,2005,stricro02
John Stroud,1981,1981,stroujo01
Bob Sura,2005,2005,surabo01
Stromile Swift,2006,2006,swiftst01
Žan Tabak,1995,1995,tabakza01
Jae'Sean Tate,2021,2023,tateja01
