Player,From,To,PlayerId
Tom Abernethy,1981,1981,abernto01
Matt Aitch,1968,1968,aitchma01
Jerome Allen,1997,1997,allenje01
Lavoy Allen,2014,2017,allenla01
Lou Amundson,2012,2012,amundlo01
Jerome Anderson,1977,1977,anderje01
Justin Anderson,2022,2022,anderju01
Kenny Anderson,2004,2004,anderke01
Ron Anderson,1986,1988,anderro01
Ike Anigbogu,2018,2019,anigbik01
Darrell Armstrong,2007,2007,armstda01
Bob Arnzen,1973,1974,arnzebo01
Vincent Askew,1997,1997,askewvi01
D.J. Augustin,2013,2013,augusdj01
Jeff Ayres,2012,2013,pendeje02
Mike Bantom,1978,1982,bantomi01
Leandro Barbosa,2012,2012,barbole01
Nate Barnett,1976,1976,barnena01
John Barnhill,1970,1972,barnhjo01
Maceo Baston,2007,2009,bastoma01
Johnny Baum,1974,1974,baumjo01
Art Becker,1970,1971,beckear01
Ron Behagen,1978,1978,behagro01
Jonathan Bender,2000,2006,bendejo01
Mel Bennett,1977,1978,benneme01
Travis Best,1996,2002,besttr01
Goga Bitadze,2020,2023,bitadgo01
Bojan Bogdanović,2018,2019,bogdabo02
Etdrick Bohannon,1998,1998,bohanet01
Ron Bonham,1968,1968,bonharo01
Trevor Booker,2018,2018,booketr01
Brian Bowen,2020,2021,bowenbr02
Dudley Bradley,1980,1981,bradldu01
Brad Branson,1983,1983,bransbr01
Jamison Brewer,2002,2004,breweja01
Primož Brezec,2002,2004,brezepr01
Amida Brimah,2021,2021,brimaam01
Oshae Brissett,2021,2023,brissos01
Malcolm Brogdon,2020,2022,brogdma01
Aaron Brooks,2017,2017,brookaa01
Michael Brooks,1987,1987,brookmi01
Kendall Brown,2023,2023,brownke03
Roger Brown,1968,1975,brownro01
Tony Brown,1985,1985,brownto01
Quinn Buckner,1986,1986,bucknqu01
Chase Budinger,2016,2016,budinch01
Don Buse,1973,1982,busedo01
Rasual Butler,2014,2014,butlera01
Andrew Bynum,2014,2014,bynuman01
Marty Byrnes,1983,1983,byrnema01
Adrian Caldwell,1996,1996,caldwad01
Corky Calhoun,1979,1980,calhoco01
Larry Cannon,1972,1974,cannola01
Bob Carrington,1978,1978,carribo01
Butch Carter,1982,1984,cartebu01
Ron Carter,1980,1980,cartero01
Ahmad Caver,2022,2022,caverah01
Wayne Chapman,1971,1972,chapmwa01
Phil Chenier,1980,1980,cheniph01
Rakeem Christmas,2016,2017,chrisra01
Steve Chubin,1969,1970,chubist01
Darren Collison,2011,2019,collida01
Leroy Combs,1984,1984,combsle01
Lester Conner,1994,1994,connele01
Chris Copeland,2014,2015,copelch01
Torrey Craig,2022,2022,craigto01
Austin Croshere,1998,2006,croshau01
Michael Curry,2005,2005,currymi01
Erick Dampier,1997,1997,dampier01
Marquis Daniels,2007,2009,daniema01
Mel Daniels,1969,1974,danieme01
Adrian Dantley,1978,1978,dantlad01
Ollie Darden,1968,1970,dardeol01
Antonio Davis,1994,1999,davisan01
Brad Davis,1979,1980,davisbr01
Dale Davis,1992,2005,davisda01
Johnny Davis,1979,1982,davisjo01
Jimmy Dawson,1968,1968,dawsoji01
Don Dee,1969,1969,deedo01
Travis Diener,2008,2010,dienetr01
Byron Dinkins,1991,1991,dinkiby01
Ike Diogu,2007,2008,dioguik01
Greg Dreiling,1987,1993,dreilgr01
Chris Duarte,2022,2023,duartch01
Mike Dunleavy,2007,2011,dunlemi02
John Duren,1983,1983,durenjo01
Devin Durrant,1985,1985,durrade01
Kenton Edelin,1985,1985,edelike01
Charles Edge,1975,1975,edgech01
Bobby Edmonds,1968,1970,edmonbo01
Tyus Edney,2001,2001,edneyty01
James Edwards,1978,1981,edwarja01
John Edwards,2005,2005,edwarjo01
Monta Ellis,2016,2017,ellismo01
Len Elmore,1975,1979,elmorle01
Darrell Elston,1977,1977,elstoda01
Alex English,1979,1980,englial01
Tyreke Evans,2019,2019,evansty01
John Fairchild,1969,1970,faircjo01
Duane Ferrell,1995,1997,ferredu01
Kyrylo Fesenko,2012,2012,fesenky01
Vern Fleming,1985,1995,flemive01
Mike Flynn,1976,1978,flynnmi01
T.J. Ford,2009,2011,fordtj01
Jeff Foster,2000,2012,fosteje01
Tremaine Fowlkes,2005,2005,fowlktr01
Anthony Frederick,1989,1989,fredean01
Donnie Freeman,1973,1974,freemdo01
Bill Garnett,1985,1986,garnebi02
Paul George,2011,2017,georgpa01
Eddie Gill,2005,2006,gilled01
Stephen Graham,2008,2009,grahast01
Danny Granger,2006,2014,grangda01
Travis Grant,1976,1976,granttr01
Stuart Gray,1985,1989,grayst01
Gerald Green,2013,2013,greenge01
Rickey Green,1990,1990,greenri01
Sean Green,1992,1993,greense01
Steve Green,1977,1979,greenst01
Orien Greene,2007,2007,greenor01
Dick Grubar,1970,1970,grubadi01
Rudy Hackett,1977,1977,hackeru01
Marcus Haislip,2005,2005,haislma01
Tyrese Haliburton,2022,2023,halibty01
Darvin Ham,1997,1997,hamda01
Ben Hansbrough,2013,2013,hansbbe01
Tyler Hansbrough,2010,2013,hansbty01
Tim Hardaway,2003,2003,hardati01
Reggie Harding,1968,1968,hardire01
Jerry Harkness,1968,1969,harknje01
Al Harrington,1999,2007,harrial01
David Harrison,2005,2008,harrida01
Scott Haskin,1994,1994,haskisc01
Joe Hassett,1980,1980,hassejo01
Luther Head,2010,2010,headlu01
Roy Hibbert,2009,2015,hibbero01
Buddy Hield,2022,2023,hieldbu01
Earle Higgins,1971,1971,higgiea01
George Hill,2012,2023,hillge01
Jordan Hill,2016,2016,hilljo01
Solomon Hill,2014,2016,hillso01
Darnell Hillman,1972,1977,hillmda01
Nate Hinton,2022,2022,hintona01
Fred Hoiberg,1996,1999,hoibefr01
Aaron Holiday,2019,2021,holidaa01
Justin Holiday,2020,2022,holidju01
Bobby Hooper,1969,1969,hoopebo01
Warren Jabali,1971,1971,jabalwa01
Jarrett Jack,2009,2009,jackja01
Isaiah Jackson,2022,2023,jacksis01
Mark Jackson,1995,2000,jacksma01
Ralph Jackson,1985,1985,jacksra01
Stephen Jackson,2005,2007,jacksst02
Tracy Jackson,1984,1984,jackstr01
DeJon Jarreau,2022,2022,jarrede01
Šarūnas Jasikevičius,2006,2007,jasiksa01
Al Jefferson,2017,2018,jeffeal01
Britton Johnsen,2005,2005,johnsbr01
Alize Johnson,2019,2020,johnsal02
Anthony Johnson,2004,2006,johnsan02
Clemon Johnson,1980,1983,johnscl01
Eddie Johnson,1996,1997,johnsed03
George Johnson,1981,1984,johnsge03
Gus Johnson,1973,1973,johnsgu01
James Johnson,2023,2023,johnsja01
Mickey Johnson,1980,1980,johnsmi01
Orlando Johnson,2013,2014,johnsor01
Dahntay Jones,2010,2012,jonesda02
Fred Jones,2003,2006,jonesfr01
James Jones,2004,2005,jonesja02
Solomon Jones,2010,2011,jonesso01
Wil Jones,1977,1977,joneswi02
Charles Jordan,1976,1976,jordach01
Cory Joseph,2018,2019,josepco01
Kevin Joyce,1974,1975,joyceke01
Butch Joyner,1969,1969,joynebu01
Bill Keller,1970,1976,kellebi01
Clark Kellogg,1983,1987,kellocl01
Arvesta Kelly,1972,1972,kellyar01
Greg Kelser,1985,1985,kelsegr01
Lari Ketner,2001,2001,ketnela01
Greg Kite,1995,1995,kitegr01
Billy Knight,1975,1983,knighbi01
Ron Kozlicki,1968,1968,kozliro01
Bruce Kuczenski,1984,1984,kuczebr01
John Kuester,1980,1980,kuestjo01
Bo Lamar,1976,1976,lamarbo01
Jeremy Lamb,2020,2022,lambje01
Jerome Lane,1992,1992,laneje01
Ty Lawson,2016,2016,lawsoty01
T.J. Leaf,2018,2020,leaftj01
Jalen Lecque,2021,2021,lecquja01
Caris LeVert,2021,2022,leverca01
Freddie Lewis,1968,1977,lewisfr02
Mike Lewis,1969,1969,lewismi01
John Long,1987,1989,longjo01
Sidney Lowe,1984,1984,lowesi01
Kyle Macy,1987,1987,macyky01
Ian Mahinmi,2013,2016,mahinia01
Ed Manning,1976,1976,mannied01
Rawle Marshall,2007,2007,marshra01
Bill Martin,1986,1986,martibi01
Kelan Martin,2021,2022,martike03
Bennedict Mathurin,2023,2023,mathube01
Wesley Matthews,2019,2019,matthwe02
Clyde Mayes,1977,1977,mayescl01
Dwayne McClain,1986,1986,mccladw01
George McCloud,1990,1993,mccloge01
T.J. McConnell,2020,2023,mccontj01
Doug McDermott,2019,2021,mcderdo01
George McGinnis,1972,1982,mcginge01
Dominic McGuire,2013,2013,mcguido01
Jerry McKee,1970,1970,mckeeje01
Kevin McKenna,1984,1984,mckenke01
Derrick McKey,1994,2001,mckeyde01
Trey McKinney-Jones,2018,2018,mckintr01
Keith McLeod,2007,2007,mcleoke01
Josh McRoberts,2009,2011,mcrobjo01
Ron Mercer,2002,2003,mercero01
C.J. Miles,2015,2017,milescj01
Brad Miller,2002,2003,millebr01
Dick Miller,1981,1981,milledi01
Jay Miller,1969,1971,milleja01
Reggie Miller,1988,2005,millere01
Terry Mills,2001,2001,millste01
Sam Mitchell,1993,1995,mitchsa01
Naz Mitrou-Long,2020,2020,mitrona01
Ben Moore,2018,2018,moorebe01
Guy Morgan,1983,1983,morgagu01
Richard Morton,1989,1989,mortori01
Rick Mount,1971,1972,mountri01
Chris Mullin,1998,2000,mullich01
Troy Murphy,2007,2010,murphtr01
Ronald Murray,2008,2008,murraro01
Calvin Natt,1990,1990,nattca01
Kenny Natt,1981,1981,nattke01
Andrew Nembhard,2023,2023,nembhan01
Aaron Nesmith,2023,2023,nesmiaa01
Rasho Nesterović,2009,2009,nestera01
Bob Netolicky,1968,1976,netolbo01
Johnny Neumann,1975,1978,neumajo01
Bill Newton,1973,1974,newtobi01
Georges Niang,2017,2017,niangge01
Dyron Nix,1990,1990,nixdy01
Jordan Nwora,2023,2023,nworajo01
Jermaine O'Neal,2001,2008,onealje01
Kyle O'Quinn,2019,2019,oquinky01
Victor Oladipo,2018,2021,oladivi01
Jawann Oldham,1991,1991,oldhaja01
Kevin Ollie,2002,2002,ollieke01
Barry Orms,1970,1970,ormsba01
Louis Orr,1981,1982,orrlo01
Andre Owens,2008,2008,owensan01
Tom Owens,1976,1982,owensto01
Wayne Pack,1975,1975,packwa01
Gerald Paddio,1994,1994,paddige01
George Peeples,1968,1973,peeplge01
Sam Perkins,1999,2001,perkisa01
Reggie Perry,2022,2022,perryre01
Ron Perry,1969,1969,perryro01
Chuck Person,1987,1992,persoch01
Ricky Pierce,1996,1996,piercri01
Miles Plumlee,2013,2013,plumlmi01
Scot Pollard,2004,2006,pollasc01
Mark Pope,1998,1999,popema01
James Posey,2011,2011,poseyja01
Josh Powell,2007,2007,poweljo01
Alex Poythress,2018,2018,poythal01
A.J. Price,2010,2015,priceaj01
Mike Price,1972,1972,pricemi01
Trevelin Queen,2023,2023,queentr01
Wayne Radford,1979,1979,radfowa01
Jimmy Rayl,1968,1969,raylji01
Craig Raymond,1973,1973,raymocr01
Davon Reed,2019,2019,reedda01
Clint Richardson,1986,1987,richacl01
Norm Richardson,2002,2002,richano01
Pooh Richardson,1993,1994,richapo01
Rick Robey,1979,1979,robeyri01
Glenn Robinson III,2016,2018,robingl02
Dave Robisch,1976,1978,robisda01
Carlos Rogers,2002,2002,rogerca01
Jalen Rose,1997,2002,roseja01
Dan Roundfield,1976,1978,roundda01
Brian Rowsom,1988,1988,rowsobr01
Damjan Rudež,2015,2015,rudezda01
Brandon Rush,2009,2011,rushbr01
Kareem Rush,2008,2008,rushka01
Walker Russell,1987,1987,russewa01
Domantas Sabonis,2018,2022,sabondo01
JaKarr Sampson,2020,2021,sampsja02
Mike Sanders,1990,1992,sandemi01
Dwayne Schintzius,1996,1996,schindw01
Russ Schoene,1983,1983,schoeru01
Detlef Schrempf,1989,1993,schrede01
Luis Scola,2014,2015,scolalu01
Brent Scott,1997,1997,scottbr01
Byron Scott,1994,1995,scottby01
Malik Sealy,1993,1994,sealyma01
Kevin Séraphin,2017,2017,serapke01
Jerry Sichting,1981,1985,sichtje01
Don Sidle,1971,1972,sidledo01
Courtney Sims,2008,2008,simsco01
Scott Skiles,1988,1989,skilesc01
Jose Slaughter,1983,1983,slaugjo01
Donald Sloan,2014,2015,sloando01
Jalen Smith,2022,2023,smithja04
Willie Smith,1978,1978,smithwi02
Rik Smits,1989,2000,smitsri01
Ricky Sobers,1978,1979,soberri01
Kevin Stacom,1979,1979,stacoke01
Cassius Stanley,2021,2021,stanlca01
Terence Stansbury,1985,1986,stanste01
Everette Stephens,1989,1989,stephev01
Lance Stephenson,2011,2022,stephla01
Brook Steppe,1984,1984,steppbr01
Steve Stipanovich,1984,1988,stipast01
Peja Stojaković,2006,2006,stojape01
Erick Strickland,2003,2003,stricer01
Mark Strickland,1995,1995,stricma01
Rodney Stuckey,2015,2017,stuckro01
Edmond Sumner,2018,2021,sumneed01
Bruno Šundov,2001,2002,sundobr01
Keifer Sykes,2022,2022,sykeske01
Žan Tabak,2000,2001,tabakza01
Earl Tatum,1978,1978,tatumea01
Terry Taylor,2022,2023,taylote01
Jeff Teague,2017,2017,teaguje01
Tom Thacker,1969,1971,thackto01
Daniel Theis,2023,2023,theisda01
Jim Thomas,1984,1985,thomaji01
Jack Thompson,1969,1969,thompja01
LaSalle Thompson,1989,1997,thompla01
Tristan Thompson,2022,2022,thomptr01
Jamaal Tinsley,2002,2008,tinslja01
Wayman Tisdale,1986,1989,tisdawa01
Sedric Toney,1989,1989,toneyse01
Raymond Townsend,1982,1982,townsra01
Evan Turner,2014,2014,turneev01
Myles Turner,2016,2023,turnemy01
Pete Verhoeven,1987,1987,verhope01
Phil Wagner,1969,1969,wagneph01
Granville Waiters,1984,1985,waitegr01
Samaki Walker,2006,2006,walkesa01
Brad Wanamaker,2022,2022,wanambr01
T.J. Warren,2020,2021,warretj01
Bryan Warrick,1986,1986,warribr01
Duane Washington Jr.,2022,2022,washidu02
C.J. Watson,2014,2015,watsocj01
Earl Watson,2010,2010,watsoea01
David West,2012,2015,westda01
Mark West,1998,1998,westma01
Clinton Wheeler,1988,1988,wheelcl01
Shayne Whittington,2015,2016,whittsh01
Damien Wilkins,2018,2018,wilkida02
Herb Williams,1982,1989,willihe01
John Williams,1995,1995,willijo02
Kenny Williams,1991,1994,willike03
Micheal Williams,1991,1992,willimi02
Reggie Williams,1997,1997,willire01
Shawne Williams,2007,2008,willish03
John Williamson,1977,1978,willijo01
Bobby Wilson,1978,1978,wilsobo03
Marv Winkler,1972,1972,winklma01
Randy Wittman,1989,1992,wittmra01
Haywoode Workman,1994,1997,workmha01
Metta World Peace,2002,2006,artesro01
Gabe York,2022,2023,yorkga01
Joe Young,2016,2018,youngjo01
Sam Young,2013,2013,youngsa01
Thaddeus Young,2017,2019,youngth01
Tony Zeno,1980,1980,zenoto01
