Player,From,To,PlayerId
Zaid Abdul-Aziz,1977,1977,abdulza01
Alex Acker,2009,2009,ackeral01
Don Adams,1976,1977,adamsdo01
Mark Aguirre,1994,1994,aguirma01
Cole Aldrich,2016,2016,aldrico01
Al-Farouq Aminu,2011,2011,aminual01
Alan Anderson,2017,2017,anderal01
Derek Anderson,2000,2000,anderde01
Kenny Anderson,2005,2005,anderke01
Richard Anderson,1983,1983,anderri01
Isaac Austin,1998,1998,austiis01
Anthony Avent,2000,2000,aventan01
Bird Averitt,1977,1978,averibi01
Jeff Ayres,2016,2016,pendeje02
Maurice Baker,2005,2005,bakerma01
Vin Baker,2006,2006,bakervi01
Cedric Ball,1991,1991,ballce01
Ken Bannister,1989,1991,bannike01
Marvin Barnes,1978,1980,barnema01
Matt Barnes,2004,2015,barnema02
Andre Barrett,2008,2008,barrean01
Brent Barry,1996,1998,barrybr01
Brandon Bass,2017,2017,bassbr01
Nicolas Batum,2021,2023,batumni01
Benoit Benjamin,1986,1991,benjabe01
Mario Bennett,2000,2000,bennema01
Patrick Beverley,2018,2021,beverpa01
Henry Bibby,1981,1981,bibbyhe01
Bob Bigelow,1979,1979,bigelbo01
Chauncey Billups,2012,2013,billuch01
Steve Blake,2010,2010,blakest01
Eric Bledsoe,2011,2022,bledser01
Etdrick Bohannon,2000,2000,bohanet01
Brandon Boston Jr.,2022,2023,bostobr01
Nate Bowman,1971,1971,bowmana01
Earl Boykins,2001,2002,boykiea01
Avery Bradley,2018,2019,bradlav01
Elton Brand,2002,2008,brandel01
Junior Bridgeman,1985,1986,bridgju01
Jim Brogan,1982,1983,brogaji01
Gary Brokaw,1978,1978,brokaga01
Michael Brooks,1981,1984,brookmi01
Bobby Brown,2010,2010,brownbo02
Moses Brown,2023,2023,brownmo01
Tony Brown,1992,1992,brownto01
Rick Brunson,2005,2005,brunsri01
Em Bryant,1971,1972,bryanem01
Joe Bryant,1980,1982,bryanjo01
Wallace Bryant,1986,1986,bryanwa01
Torgeir Bryn,1990,1990,brynto01
Reggie Bullock,2014,2015,bullore01
Steve Burtt,1988,1988,burttst01
Caron Butler,2012,2013,butleca01
Greg Butler,1991,1991,butlegr01
Rasual Butler,2010,2011,butlera01
Michael Cage,1985,1988,cagemi01
Marcus Camby,2009,2010,cambyma01
Bob Carrington,1980,1980,carribo01
Sam Cassell,2006,2008,cassesa01
Harvey Catchings,1985,1985,catchha01
Lionel Chalmers,2005,2005,chalmli01
Jerry Chambers,1972,1972,chambje01
Tom Chambers,1982,1983,chambto01
Wilson Chandler,2019,2019,chandwi01
Ken Charles,1974,1976,charlke01
Pete Chilcutt,2000,2000,chilcpe01
Doug Christie,2007,2007,chrisdo01
Keith Closs,1998,2000,closske01
Amir Coffey,2020,2023,coffeam01
Norris Coleman,1988,1988,colemno01
James Collins,1998,1998,collija01
Jarron Collins,2011,2011,collija03
Mardy Collins,2009,2010,collima01
Darren Collison,2014,2014,collida01
Marty Conlon,2000,2000,conloma01
Lester Conner,1993,1993,connele01
Will Conroy,2007,2007,conrowi01
Brian Cook,2011,2012,cookbr01
Joe Cooper,1983,1983,coopejo01
Lanard Copeland,1992,1992,copella01
DeMarcus Cousins,2021,2021,couside01
Robert Covington,2022,2023,covinro01
Freddie Crawford,1971,1971,crawffr01
Jamal Crawford,2013,2017,crawfja01
Charlie Criss,1982,1982,crissch01
