Player,From,To,PlayerId
Kareem Abdul-Jabbar,1976,1989,abdulka01
Tom Abernethy,1977,1978,abernto01
Gary Alcorn,1961,1961,alcorga01
Lucius Allen,1975,1977,allenlu01
Cliff Anderson,1968,1969,andercl01
Kostas Antetokounmpo,2020,2021,antetko01
Carmelo Anthony,2022,2022,anthoca01
Trevor Ariza,2008,2022,arizatr01
Chucky Atkins,2005,2005,atkinch01
D.J. Augustin,2022,2022,augusdj01
Lonzo Ball,2018,2019,balllo01
Mo Bamba,2023,2023,bambamo01
Jim Barnes,1967,1968,barneji01
Matt Barnes,2011,2012,barnema02
Dick Barnett,1963,1965,barnedi01
Jon Barry,1998,1998,barryjo01
Brandon Bass,2016,2016,bassbr01
Billy Ray Bates,1983,1983,batesbi01
Elgin Baylor,1959,1972,bayloel01
Kent Bazemore,2014,2022,bazemke01
Ed Beach,1951,1951,beached01
Malik Beasley,2023,2023,beaslma01
Michael Beasley,2019,2019,beaslmi01
Zelmo Beaty,1975,1975,beatyze01
Benoit Benjamin,1993,1993,benjabe01
Mario Bennett,1998,1998,bennema01
Patrick Beverley,2023,2023,beverpa01
Tarik Black,2015,2017,blackta01
Alex Blackwell,1993,1993,blackal01
Steve Blake,2011,2014,blakest01
John Block,1967,1967,blockjo01
Mike Bloom,1949,1949,bloommi01
Corie Blount,1996,1999,blounco01
Vander Blue,2015,2018,blueva01
Tony Bobbitt,2005,2005,bobbito01
Andrew Bogut,2018,2018,bogutan01
Isaac Bonga,2019,2019,bongais01
Ron Boone,1979,1980,boonero01
Bob Boozer,1966,1966,boozebo01
Carlos Boozer,2015,2015,boozeca01
Sam Bowie,1994,1995,bowiesa01
Avery Bradley,2020,2022,bradlav01
Adrian Branch,1987,1987,brancad01
Corey Brewer,2017,2018,breweco01
Jim Brewer,1981,1982,breweji01
Frank Brickowski,1987,1987,brickfr01
Bill Bridges,1973,1975,bridgbi01
MarShon Brooks,2014,2014,brookma01
Anthony Brown,2016,2016,brownan02
Chaundee Brown Jr.,2022,2022,brownch05
