Player,From,To,PlayerId
Mahmoud Abdul-Rauf,2001,2001,abdulma02
Shareef Abdur-Rahim,1997,2001,abdursh01
Jordan Adams,2015,2016,adamsjo01
Steven Adams,2022,2023,adamsst01
Santi Aldama,2022,2023,aldamsa01
Grayson Allen,2020,2021,allengr01
Tony Allen,2011,2017,allento01
Ashraf Amaya,1996,1996,amayaas01
Chris Andersen,2016,2016,anderch01
Kyle Anderson,2019,2022,anderky01
Nick Anderson,2002,2002,anderni01
Greg Anthony,1996,1997,anthogr01
Robert Archibald,2003,2003,archiro01
Gilbert Arenas,2012,2012,arenagi01
Darrell Arthur,2009,2013,arthuda01
Chucky Atkins,2006,2007,atkinch01
Isaac Austin,2001,2002,austiis01
Anthony Avent,1996,1996,aventan01
Wade Baldwin,2017,2017,baldwwa01
Desmond Bane,2021,2023,banede01
Matt Barnes,2016,2016,barnema02
Mike Batiste,2003,2003,batismi01
Shane Battier,2002,2011,battish01
Jerryd Bayless,2013,2014,bayleje01
Jordan Bell,2020,2020,belljo01
Troy Bell,2004,2004,belltr01
Benoit Benjamin,1996,1996,benjabe01
Mike Bibby,1999,2001,bibbymi01
Avery Bradley,2019,2019,bradlav01
Ronnie Brewer,2010,2010,brewero02
Dillon Brooks,2018,2023,brookdi01
MarShon Brooks,2018,2019,brookma01
Andre Brown,2008,2008,brownan01
Kwame Brown,2008,2008,brownkw01
Shaq Buchanan,2022,2022,buchash01
Greg Buckner,2009,2009,buckngr01
Rodney Buford,2002,2002,buforro01
Antonio Burks,2005,2006,burksan01
Bruno Caboclo,2019,2020,cabocbr01
Nick Calathes,2014,2015,calatni01
Brian Cardinal,2005,2008,cardibr01
Rodney Carney,2011,2011,carnero01
Antoine Carr,2000,2000,carran01
DeMarre Carroll,2010,2011,carrode01
Jevon Carter,2019,2019,carteje01
Vince Carter,2015,2017,cartevi01
Omri Casspi,2019,2019,casspom01
Mario Chalmers,2016,2018,chalmma01
Kennedy Chandler,2023,2023,chandke01
Pete Chilcutt,1997,1999,chilcpe01
Brandon Clarke,2020,2023,clarkbr01
Jason Collins,2008,2008,collija04
Mike Conley,2008,2019,conlemi01
Will Conroy,2007,2007,conrowi01
Bryce Cotton,2016,2016,cottobr01
Javaris Crittenton,2008,2009,crittja01
Jae Crowder,2020,2020,crowdja01
Jarrett Culver,2022,2022,culveja01
Dante Cunningham,2012,2012,cunnida01
Seth Curry,2014,2014,curryse01
Antonio Daniels,1998,1998,daniean01
Troy Daniels,2017,2017,danietr01
Deyonta Davis,2017,2018,davisde01
Ed Davis,2013,2014,davised01
Josh Davis,2012,2012,davisjo02
Austin Daye,2013,2013,dayeau01
Terry Dehere,1999,1999,deherte01
Michael Dickerson,2000,2003,dickemi01
Gorgui Dieng,2020,2021,dienggo01
Keyon Dooling,2013,2013,doolike01
Tyler Dorsey,2019,2019,dorsety01
Toney Douglas,2017,2017,douglto01
Blue Edwards,1996,1998,edwarbl01
Doug Edwards,1996,1996,edwardo01
Kevin Edwards,2001,2001,edwarke01
Obinna Ekezie,2000,2000,ekeziob01
Wayne Ellington,2013,2013,ellinwa01
Andre Emmett,2005,2005,emmetan01
James Ennis III,2016,2018,ennisja01
Tyreke Evans,2018,2018,evansty01
Jordan Farmar,2016,2016,farmajo01
Isaac Fontaine,2002,2002,fontais01
Antonis Fotsis,2002,2002,fotsian01
Adonal Foyle,2009,2009,foylead01
Jamaal Franklin,2014,2014,frankja01
Tim Frazier,2021,2021,fraziti01
Marc Gasol,2009,2019,gasolma01
Pau Gasol,2002,2008,gasolpa01
Kenny Gattison,1996,1996,gattike01
Rudy Gay,2007,2013,gayru01
Trey Gilder,2010,2010,gildetr01
Eddie Gill,2002,2002,gilled01
Jacob Gilyard,2023,2023,gilyaja01
Gordan Giriček,2003,2003,giricgo01
Drew Gooden,2003,2003,goodedr01
