Player,From,To,PlayerId
Precious Achiuwa,2021,2021,achiupr01
Bam Adebayo,2018,2023,adebaba01
Blake Ahearn,2008,2008,ahearbl01
Gary Alexander,1994,1994,alexaga01
Kyle Alexander,2020,2020,alexaky01
Malik Allen,2002,2005,allenma01
Ray Allen,2013,2014,allenra02
Rafer Alston,2004,2010,alstora01
Chris Andersen,2013,2016,anderch01
Derek Anderson,2006,2006,anderde01
Ryan Anderson,2019,2019,anderry01
Shandon Anderson,2005,2006,andersh01
Willie Anderson,1997,1997,anderwi01
Joel Anthony,2008,2014,anthojo01
Trevor Ariza,2021,2021,arizatr01
Carlos Arroyo,2010,2011,arroyca01
Keith Askins,1991,1999,askinke01
Isaac Austin,1997,1998,austiis01
Luke Babbitt,2017,2018,babbilu01
Miloš Babić,1992,1992,babicmi01
Marcus Banks,2008,2009,banksma01
Earl Barron,2006,2008,barroea01
Brent Barry,1998,1998,barrybr01
Shane Battier,2012,2014,battish01
Jerome Beasley,2004,2004,beaslje01
Michael Beasley,2009,2015,beaslmi01
Winston Bennett,1992,1992,bennewi01
Travis Best,2003,2003,besttr01
Mike Bibby,2011,2011,bibbymi01
Nemanja Bjelica,2021,2021,bjeline01
Mark Blount,2008,2009,blounma01
Manute Bol,1994,1994,bolma01
Chris Bosh,2011,2016,boshch01
Jamaree Bouyea,2023,2023,bouyeja01
Bruce Bowen,1997,2001,bowenbr01
Avery Bradley,2021,2021,bradlav01
Ernest Brown,2002,2002,browner01
P.J. Brown,1997,2000,brownpj01
Shannon Brown,2015,2015,brownsh01
Rodney Buford,2000,2000,buforro01
Willie Burton,1991,1994,burtowi01
Caron Butler,2003,2004,butleca01
Jimmy Butler,2020,2023,butleji01
Rasual Butler,2003,2005,butlera01
Jamal Cain,2023,2023,cainja01
Anthony Carter,2000,2003,cartean01
Duane Causwell,1998,2001,causwdu01
Cedric Ceballos,2001,2001,cebalce01
Mario Chalmers,2009,2016,chalmma01
Rex Chapman,1996,1996,chapmre01
Norris Cole,2012,2015,coleno01
Bimbo Coles,1991,2004,colesbi01
Marty Conlon,1998,1999,conloma01
Daequan Cook,2008,2010,cookda02
Tyrone Corbin,1996,1996,corbity01
John Crotty,1997,1997,crottjo01
Jae Crowder,2020,2020,crowdja01
Pat Cummings,1989,1990,cummipa01
Eddy Curry,2012,2012,curryed01
Erick Dampier,2011,2011,dampier01
Sasha Danilović,1996,1997,danilsa01
Mark Davis,1999,1999,davisma02
Ricky Davis,2001,2008,davisri01
Terry Davis,1990,1991,daviste01
Andre Dawkins,2015,2015,dawkian01
Todd Day,1998,1998,dayto01
Dewayne Dedmon,2021,2023,dedmode01
Luol Deng,2015,2016,denglu01
Yakhouba Diawara,2009,2010,diawaya01
Michael Doleac,2005,2007,doleami01
Keyon Dooling,2005,2005,doolike01
Sherman Douglas,1990,1992,douglsh01
Toney Douglas,2014,2014,douglto01
Goran Dragić,2015,2021,dragigo01
Zoran Dragić,2015,2015,dragizo01
Ledell Eackles,1995,1995,eacklle01
Blue Edwards,1999,1999,edwarbl01
Kevin Edwards,1989,1993,edwarke01
Wayne Ellington,2017,2019,ellinwa01
LaPhonso Ellis,2002,2003,ellisla01
LeRon Ellis,1996,1996,ellisle02
James Ennis III,2015,2016,ennisja01
Matt Fish,1997,1997,fishma01
Gerald Fitch,2006,2006,fitchge01
Tellis Frank,1990,1990,frankte01
Todd Fuller,2001,2001,fulleto02
Kevin Gamble,1995,1996,gamblke01
Marcus Garrett,2022,2022,garrema01
Chris Gatling,1996,2002,gatlich01
Matt Geiger,1993,1995,geigema01
Kendall Gill,2002,2002,gillke01
Mickell Gladness,2012,2012,gladnmi01
Ron Grandison,1996,1996,grandro01
Danny Granger,2015,2015,grangda01
Brian Grant,2001,2004,grantbr01
Gary Grant,1997,1997,grantga01
Sylvester Gray,1989,1989,graysy01
A.C. Green,2001,2001,greenac01
Gerald Green,2016,2016,greenge01
Kyle Guy,2022,2022,guyky01
Scott Haffner,1990,1990,haffnsc01
Justin Hamilton,2014,2015,hamilju01
Tang Hamilton,2002,2002,hamilta01
Anfernee Hardaway,2008,2008,hardaan01
Tim Hardaway,1996,2001,hardati01
Maurice Harkless,2021,2021,harklma01
Josh Harrellson,2013,2013,harrejo01
Terrel Harris,2012,2013,harrite01
Udonis Haslem,2004,2023,hasleud01
Scott Hastings,1989,1989,hastisc01
Luther Head,2009,2009,headlu01
Tyler Herro,2020,2023,herroty01
Haywood Highsmith,2022,2023,highsha01
Solomon Hill,2020,2020,hillso01
Tyrone Hill,2004,2004,hillty01
Robert Hite,2007,2007,hitero01
Eddie House,2001,2011,houseed01
Juwan Howard,2011,2013,howarju01
Andre Iguodala,2020,2021,iguodan01
Zydrunas Ilgauskas,2011,2011,ilgauzy01
Jim Jackson,2002,2002,jacksji01
Luke Jackson,2008,2008,jackslu02
LeBron James,2011,2014,jamesle01
Mike James,2002,2003,jamesmi01
Tim James,2000,2000,jamesti01
Harold Jamison,2000,2000,jamisha01
Alexander Johnson,2008,2008,johnsal01
James Johnson,2017,2020,johnsja01
Joe Johnson,2016,2016,johnsjo02
Ken Johnson,2003,2003,johnske03
Tyler Johnson,2015,2019,johnsty01
Bobby Jones,2008,2008,jonesbo02
Damon Jones,2005,2005,jonesda01
Derrick Jones Jr.,2018,2020,jonesde02
Eddie Jones,2001,2007,jonesed02
James Jones,2009,2014,jonesja02
Nikola Jović,2023,2023,jovicni01
Jason Kapono,2006,2007,kaponja01
Alec Kessler,1991,1994,kesslal01
Stacey King,1996,1996,kingst01
Christian Laettner,2005,2005,laettch01
Sean Lampley,2003,2003,lamplse01
Antonio Lang,1998,1998,langan02
Stéphane Lasme,2008,2008,lasmest01
Voshon Lenard,1996,2000,lenarvo01
Meyers Leonard,2020,2021,leoname01
Rashard Lewis,2013,2014,lewisra02
DeAndre Liggins,2014,2014,liggide01
Shaun Livingston,2009,2009,livinsh01
Brad Lohaus,1995,1995,lohaubr01
Grant Long,1989,1995,longgr01
Kevin Love,2023,2023,loveke01
Kyle Lowry,2022,2023,lowryky01
Sam Mack,2002,2002,macksa01
Don MacLean,2001,2001,macledo01
Daryl Macon,2020,2020,maconda01
Jamaal Magloire,2009,2011,magloja01
Dan Majerle,1997,2001,majerda01
Jeff Malone,1996,1996,malonje01
Shawn Marion,2008,2009,mariosh01
Sean Marks,2002,2003,marksse01
Caleb Martin,2022,2023,martica02
