Player,From,To,PlayerId
Alaa Abdelnaby,1993,1993,abdelal01
Zaid Abdul-Aziz,1969,1970,abdulza01
Kareem Abdul-Jabbar,1970,1975,abdulka01
Jaylen Adams,2021,2021,adamsja01
Jeff Adrien,2014,2014,adrieje01
Joe Alexander,2009,2009,alexajo01
Grayson Allen,2022,2023,allengr01
Lucius Allen,1971,1975,allenlu01
Malik Allen,2009,2009,allenma01
Ray Allen,1997,2003,allenra02
Rafer Alston,2000,2002,alstora01
Greg Anderson,1990,1991,andergr01
Giannis Antetokounmpo,2014,2023,antetgi01
Thanasis Antetokounmpo,2020,2023,antetth01
Greg Anthony,2002,2002,anthogr01
Tiny Archibald,1984,1984,architi01
John Arthurs,1970,1970,arthujo01
D.J. Augustin,2021,2021,augusdj01
Anthony Avent,1993,1994,aventan01
Gustavo Ayón,2013,2013,ayongu01
Vin Baker,1994,1997,bakervi01
Earl Barron,2011,2011,barroea01
Jon Barry,1993,1995,barryjo01
Jerryd Bayless,2015,2016,bayleje01
Michael Beasley,2017,2017,beaslmi01
MarJon Beauchamp,2023,2023,beaucma01
Charlie Bell,2006,2010,bellch01
DeAndre' Bembry,2022,2022,bembrde01
Dragan Bender,2020,2020,bendedr01
Benoit Benjamin,1996,1996,benjabe01
Kent Benson,1978,1980,bensoke01
Del Beshore,1979,1979,beshode01
Steve Blake,2007,2007,blakest01
Eric Bledsoe,2018,2020,bledser01
John Block,1972,1972,blockjo01
Keith Bogans,2009,2009,boganke01
Andrew Bogut,2006,2012,bogutan01
Joel Bolomboy,2018,2018,bolomjo01
Calvin Booth,2005,2005,boothca01
Bob Boozer,1971,1971,boozebo01
Earl Boykins,2007,2011,boykiea01
Dudley Bradley,1987,1988,bradldu01
Terrell Brandon,1998,1999,brandte01
Tim Breaux,1998,1998,breauti01
Randy Breuer,1984,1990,breuera01
Primož Brezec,2010,2010,brezepr01
Frank Brickowski,1991,1994,brickfr01
Junior Bridgeman,1976,1987,bridgju01
Jon Brockman,2011,2012,brockjo01
Malcolm Brogdon,2017,2019,brogdma01
Gary Brokaw,1975,1977,brokaga01
Chucky Brown,1997,1997,brownch01
Sterling Brown,2018,2020,brownst02
Tony Brown,1989,1990,brownto01
Elijah Bryant,2021,2021,bryanel01
Quinn Buckner,1977,1982,bucknqu01
Caron Butler,2014,2014,butleca01
Jason Caffey,2001,2003,caffeja01
Isaiah Canaan,2019,2019,canaais01
Jimmy Carruth,1997,1997,carruji01
Fred Carter,1977,1977,cartefr01
Jevon Carter,2022,2023,carteje01
Michael Carter-Williams,2015,2016,cartemi01
Sam Cassell,1999,2003,cassesa01
Harvey Catchings,1980,1984,catchha01
Len Chappell,1969,1970,chapple01
Ben Coleman,1990,1990,colembe01
Don Collins,1987,1987,collido02
Bonzie Colson,2019,2019,colsobo01
Marty Conlon,1995,1996,conloma01
Pat Connaughton,2019,2023,connapa01
Lester Conner,1991,1992,connele01
Anthony Cook,1994,1994,cookan01
Chris Copeland,2016,2016,copelch01
Joe Courtney,1994,1994,courtjo01
DeMarcus Cousins,2022,2022,couside01
Dave Cowens,1983,1983,cowenda01
Torrey Craig,2021,2021,craigto01
Freddie Crawford,1970,1970,crawffr01
Charlie Criss,1983,1984,crissch01
Geoff Crompton,1982,1982,crompge01
Austin Croshere,2009,2009,croshau01
Jae Crowder,2023,2023,crowdja01
Pat Cummings,1980,1982,cummipa01
Terry Cummings,1985,1996,cummite01
Dick Cunningham,1969,1975,cunnidi01
Jared Cunningham,2016,2016,cunnija01
Dell Curry,1999,1999,curryde01
Michael Curry,1998,1999,currymi01
Samuel Dalembert,2013,2013,dalemsa01
Bob Dandridge,1970,1982,dandrbo01
Marquis Daniels,2013,2013,daniema01
Adrian Dantley,1991,1991,dantlad01
Charles Davis,1985,1988,davisch02
Josh Davis,2006,2006,davisjo02
Mark Davis,1989,1989,davisma01
Mickey Davis,1973,1977,davismi02
Todd Day,1993,1996,dayto01
Vinny Del Negro,1999,2000,delnevi01
Javin DeLaurier,2022,2022,delauja01
Carlos Delfino,2010,2012,delfica01
Matthew Dellavedova,2017,2019,dellama01
Mamadi Diakite,2021,2021,diakima01
Bill Dinwiddie,1972,1972,dinwibi01
Donte DiVincenzo,2019,2022,divindo01
Keyon Dooling,2011,2011,doolike01
Sherman Douglas,1996,1997,douglsh01
Chris Douglas-Roberts,2011,2011,douglch01
Jeff Dowtin,2022,2022,dowtije01
Goran Dragić,2023,2023,dragigo01
Terry Driscoll,1973,1975,driscte01
Kevin Duckworth,1996,1996,duckwke01
Jared Dudley,2015,2015,dudleja01
Mike Dunleavy,1984,1990,dunlemi01
Mike Dunleavy,2012,2013,dunlemi02
Trevon Duval,2019,2019,duvaltr01
Jim Eakins,1978,1978,eakinji01
Acie Earl,1997,1997,earlac01
Blue Edwards,1993,1994,edwarbl01
Dale Ellis,1991,2000,ellisda01
Monta Ellis,2012,2013,ellismo01
Len Elmore,1981,1981,elmorle01
Francisco Elson,2009,2010,elsonfr01
Wayne Embry,1969,1969,embrywa01
Chris Engler,1985,1987,englech01
Alex English,1977,1978,englial01
Tyler Ennis,2015,2016,ennisty01
Mike Evans,1981,1982,evansmi01
Jamie Feick,1998,1999,feickja01
Kenny Fields,1985,1987,fieldke01
Marcus Fizer,2005,2005,fizerma01
Bryn Forbes,2021,2021,forbebr01
Phil Ford,1983,1983,fordph01
T.J. Ford,2004,2006,fordtj01
