Player,From,To,PlayerId
Don Ackerman,1954,1954,ackerdo01
Quincy Acy,2015,2015,acyqu01
Arron Afflalo,2016,2016,afflaar01
Henry Akin,1967,1967,akinhe01
Cole Aldrich,2014,2015,aldrico01
Kadeem Allen,2019,2020,allenka01
Lou Amundson,2015,2016,amundlo01
Bob Anderegg,1960,1960,anderbo01
Eric Anderson,1993,1994,anderer01
Shandon Anderson,2002,2005,andersh01
Willie Anderson,1996,1996,anderwi01
Don Anielak,1955,1955,anieldo01
Thanasis Antetokounmpo,2016,2016,antetth01
Carmelo Anthony,2011,2017,anthoca01
Greg Anthony,1992,1995,anthogr01
Ryan Arcidiacono,2022,2023,arcidry01
Trevor Ariza,2005,2006,arizatr01
Dick Atha,1956,1956,athadi01
Jim Baechtold,1954,1957,baechji01
James Bailey,1985,1986,baileja01
Ron Baker,2017,2019,bakerro01
Vin Baker,2004,2005,bakervi01
Renaldo Balkman,2007,2012,balkmre01
Ken Bannister,1985,1986,bannike01
Andrea Bargnani,2014,2015,bargnan01
Tom Barker,1979,1979,barketo01
Jim Barnes,1965,1966,barneji01
Matt Barnes,2006,2006,barnema02
Dick Barnett,1966,1974,barnedi01
Jim Barnett,1975,1976,barneji02
RJ Barrett,2020,2023,barrerj01
Earl Barron,2010,2013,barroea01
Ed Bartels,1950,1950,barteed01
Butch Beard,1976,1979,beardbu01
Michael Beasley,2018,2018,beaslmi01
Ron Behagen,1979,1979,behagro01
Dennis Bell,1974,1976,bellde01
Whitey Bell,1960,1961,bellwh01
Walt Bellamy,1966,1969,bellawa01
Jonathan Bender,2010,2010,bendejo01
Gary Bergen,1957,1957,bergega01
Henry Bibby,1973,1975,bibbyhe01
Mike Bibby,2012,2012,bibbymi01
Chauncey Billups,2011,2011,billuch01
Jerry Bird,1959,1959,birdje01
Rolando Blackman,1993,1994,blackro01
George Blaney,1962,1962,blanege01
Etdrick Bohannon,2000,2000,bohanet01
Anthony Bonner,1994,1995,bonnean01
Bob Boozer,1964,1965,boozebo01
Vince Boryla,1950,1954,borylvi01
Anthony Bowie,1998,1998,bowiean01
Nate Bowman,1968,1970,bowmana01
Alex Bradley,1982,1982,bradlal02
Bill Bradley,1968,1977,bradlbi01
Carl Braun,1948,1961,braunca01
Ignas Brazdeikis,2020,2021,brazdig01
Pete Brennan,1959,1959,brennpe01
Jamison Brewer,2005,2005,breweja01
Ronnie Brewer,2013,2013,brewero02
Aud Brindley,1947,1947,brindau01
Scott Brooks,1997,1997,brooksc01
Derrick Brown,2011,2011,brownde04
Shannon Brown,2014,2014,brownsh01
Jalen Brunson,2023,2023,brunsja01
Rick Brunson,1999,2001,brunsri01
Em Bryant,1965,1968,bryanem01
Cleveland Buckner,1962,1963,buckncl01
Dave Budd,1961,1965,buddda01
Reggie Bullock,2020,2021,bullore01
Greg Bunch,1979,1979,bunchgr01
Dick Bunt,1953,1953,buntdi01
Ticky Burden,1977,1978,burdeti01
Trey Burke,2018,2019,burketr01
Alec Burks,2021,2022,burksal01
Ed Burton,1962,1962,burtoed01
Donnie Butcher,1962,1964,butchdo01
Al Butler,1962,1964,butleal01
Greg Butler,1989,1990,butlegr01
Jackie Butler,2005,2006,butleja01
Tommy Byrnes,1947,1949,byrneto01
José Calderón,2015,2016,caldejo01
Jim Caldwell,1968,1968,caldwji01
Marcus Camby,1999,2013,cambyma01
Tony Campbell,1993,1994,campbto01
Rick Carlisle,1988,1988,carliri01
Anthony Carter,2011,2011,cartean01
Butch Carter,1985,1986,cartebu01
Reggie Carter,1981,1982,cartere01
Bill Cartwright,1980,1988,cartwbi01
Kelvin Cato,2007,2007,catoke01
Ron Cavenall,1985,1985,cavenro01
Tyson Chandler,2012,2014,chandty01
Wilson Chandler,2008,2011,chandwi01
Len Chappell,1964,1966,chapple01
Maurice Cheeks,1990,1991,cheekma01
Chris Childs,1997,2001,childch01
Fred Christ,1955,1955,chrisfr01
Doug Christie,1995,1996,chrisdo01
Earl Clark,2014,2014,clarkea01
Jim Cleamons,1978,1980,cleamji01
Barry Clemens,1966,1966,clemeba01
Nat Clifton,1951,1957,cliftna01
Bob Cluggish,1947,1947,cluggbo01
Fred Cofield,1986,1986,cofiefr01
Mardy Collins,2007,2009,collima01
Joe Colone,1949,1949,colonjo01
Gene Conley,1963,1964,conlege01
Bert Cook,1955,1955,cookbe01
