Player,From,To,PlayerId
Zaid Abdul-Aziz,1971,1976,abdulza01
Álex Abrines,2017,2019,abrinal01
Steven Adams,2014,2020,adamsst01
Henry Akin,1968,1968,akinhe01
Cole Aldrich,2011,2012,aldrico01
Lucius Allen,1970,1970,allenlu01
Ray Allen,2003,2007,allenra02
Antonio Anderson,2010,2010,anderan02
Kenny Anderson,2003,2003,anderke01
Carmelo Anthony,2018,2018,anthoca01
Greg Anthony,1998,1998,anthogr01
Vincent Askew,1993,1996,askewvi01
Chucky Atkins,2009,2009,atkinch01
D.J. Augustin,2015,2016,augusdj01
Dennis Awtrey,1979,1981,awtrede01
James Bailey,1980,1982,baileja01
Vin Baker,1998,2002,bakervi01
Greg Ballard,1989,1989,ballagr01
Mike Bantom,1976,1977,bantomi01
Norton Barnhill,1977,1977,barnhno01
Dana Barros,1990,1993,barroda01
Brent Barry,2000,2004,barrybr01
Drew Barry,1999,1999,barrydr01
Darius Bazley,2020,2023,bazleda01
Butch Beard,1973,1973,beardbu01
Benoit Benjamin,1991,1993,benjabe01
Tom Black,1971,1971,blackto01
Cory Blackwell,1985,1985,blackco01
Calvin Booth,2002,2004,boothca01
Bob Boozer,1970,1970,boozebo01
Lazaro Borrell,2000,2000,borrela01
Ryan Bowen,2010,2010,bowenry01
Charles Bradley,1984,1984,bradlch01
Tony Bradley,2021,2021,bradlto01
Corey Brewer,2018,2018,breweco01
Ronnie Brewer,2013,2013,brewero02
Frank Brickowski,1985,1996,brickfr01
John Brisker,1973,1975,briskjo01
Andre Brown,2007,2007,brownan01
Charlie Brown Jr.,2021,2021,brownch02
Fred Brown,1972,1984,brownfr01
Moses Brown,2021,2021,brownmo01
Tony Brown,1992,1992,brownto01
Rick Brunson,2006,2006,brunsri01
Tom Burleson,1975,1977,burleto01
Deonte Burton,2019,2020,burtode02
Caron Butler,2014,2014,butleca01
Jared Butler,2023,2023,butleja02
Michael Cage,1989,1994,cagemi01
Elden Campbell,2003,2003,campbel01
Al Carlson,1976,1976,carlsal01
Bill Cartwright,1995,1995,cartwbi01
Tom Chambers,1984,1988,chambto01
Mike Champion,1989,1989,champmi01
Semaj Christon,2017,2017,chrisse01
Archie Clark,1975,1975,clarkar01
Mateen Cleaves,2005,2006,cleavma01
Barry Clemens,1970,1972,clemeba01
Norris Cole,2017,2017,coleno01
Nick Collison,2005,2018,collini01
Marty Conlon,1992,1992,conloma01
Daequan Cook,2011,2012,cookda02
Joe Cooper,1985,1985,coopejo01
Dave Corzine,1991,1991,corzida01
James Cotton,1998,1999,cottoja02
Pete Cross,1971,1973,crosspe01
John Crotty,1999,1999,crottjo01
Terry Cummings,1997,1997,cummite01
Quintin Dailey,1990,1992,dailequ01
Antonio Daniels,2004,2005,daniean01
Emanual Davis,2000,2001,davisem01
Tyler Davis,2019,2019,davisty01
Gabriel Deck,2021,2022,deckga01
Rod Derline,1975,1976,derliro01
Mamadi Diakite,2022,2022,diakima01
Hamidou Diallo,2019,2021,diallha01
Ousmane Dieng,2023,2023,diengou01
James Donaldson,1981,1983,donalja01
Jacky Dorsey,1981,1981,dorseja01
Luguentz Dort,2020,2023,dortlu01
PJ Dozier,2018,2018,doziepj01
