Player,From,To,PlayerId
Tariq Abdul-Wahad,2000,2000,abdulta01
Mark Acres,1990,1992,acresma01
Arron Afflalo,2013,2018,afflaar01
Cory Alexander,2001,2001,alexaco01
Malik Allen,2011,2011,allenma01
Rafer Alston,2009,2009,alstora01
John Amaechi,2000,2001,amaecjo01
Al-Farouq Aminu,2020,2021,aminual01
Nick Anderson,1990,1999,anderni01
Ryan Anderson,2010,2012,anderry01
Michael Ansley,1990,1991,anslemi01
Cole Anthony,2021,2023,anthoco01
Keith Appling,2016,2016,applike01
Robert Archibald,2004,2004,archiro01
Gilbert Arenas,2011,2011,arenagi01
Trevor Ariza,2006,2008,arizatr01
B.J. Armstrong,1999,1999,armstbj01
Darrell Armstrong,1995,2003,armstda01
Carlos Arroyo,2006,2008,arroyca01
Jamel Artis,2018,2018,artisja01
Chucky Atkins,2000,2000,atkinch01
Stacey Augmon,2005,2006,augmost01
D.J. Augustin,2017,2020,augusdj01
James Augustine,2007,2008,augusja01
Isaac Austin,1999,1999,austiis01
Anthony Avent,1994,1995,aventan01
Gustavo Ayón,2013,2013,ayongu01
Dwayne Bacon,2021,2021,bacondw01
Mo Bamba,2019,2023,bambamo01
Paolo Banchero,2023,2023,banchpa01
Matt Barnes,2010,2010,barnema02
Andre Barrett,2005,2005,barrean01
Brandon Bass,2010,2011,bassbr01
Tony Battie,2005,2009,battito01
David Benoit,1998,1998,benoida01
Khem Birch,2018,2021,birchkh01
Goga Bitadze,2023,2023,bitadgo01
Bismack Biyombo,2017,2018,biyombi01
Keith Bogans,2004,2009,boganke01
Bol Bol,2023,2023,bolbo01
Jordan Bone,2021,2021,bonejo01
Anthony Bonner,1996,1996,bonnean01
Anthony Bowie,1992,1996,bowiean01
Earl Boykins,2000,2000,boykiea01
Michael Bradley,2005,2005,bradlmi01
Ignas Brazdeikis,2021,2022,brazdig01
Isaiah Briscoe,2019,2019,briscis01
Anthony Brown,2017,2017,brownan02
Dee Brown,2001,2002,brownde01
Jud Buechler,2002,2002,buechju01
Pat Burke,2003,2003,burkepa01
Devin Cannady,2021,2022,cannade01
Vince Carter,2010,2011,cartevi01
