Player,From,To,PlayerId
Alaa Abdelnaby,1995,1995,abdelal01
Forest Able,1957,1957,ablefo01
Furkan Aldemir,2015,2015,aldemfu01
Lavoy Allen,2012,2014,allenla01
Derrick Alston,1995,1996,alstode01
Lou Amundson,2007,2008,amundlo01
Cliff Anderson,1971,1971,andercl01
J.J. Anderson,1983,1983,anderjj01
James Anderson,2014,2014,anderja01
Justin Anderson,2017,2018,anderju01
Ron Anderson,1989,1993,anderro01
Michael Ansley,1992,1992,anslemi01
Vincent Askew,1988,1988,askewvi01
Isaac Austin,1994,1994,austiis01
Dennis Awtrey,1971,1973,awtrede01
Mike Bantom,1982,1982,bantomi01
Charles Barkley,1985,1992,barklch01
Matt Barnes,2006,2006,barnema02
Dick Barnett,1960,1961,barnedi01
Jim Barnett,1977,1977,barneji02
Dana Barros,1994,1995,barroda01
Jerry Baskerville,1976,1976,baskeje01
Charles Bassey,2022,2022,bassech01
Tony Battie,2011,2012,battito01
Jerryd Bayless,2017,2018,bayleje01
Ernie Beck,1961,1961,becker01
Marco Belinelli,2018,2018,belinma01
Raja Bell,2001,2002,bellra01
Benoit Benjamin,1998,1999,benjabe01
Elmer Bennett,1996,1996,benneel01
Al Bianchi,1957,1966,biancal01
Henry Bibby,1977,1980,bibbyhe01
John Block,1973,1973,blockjo01
Corie Blount,2002,2002,blounco01
Manute Bol,1991,1994,bolma01
Jonah Bolden,2019,2020,boldejo01
Trevor Booker,2018,2018,booketr01
Calvin Booth,2008,2008,boothca01
Bruce Bowen,2000,2000,bowenbr01
Ira Bowman,2000,2002,bowmair01
Freddie Boyd,1973,1976,boydfr01
Craig Brackins,2011,2012,brackcr01
Michael Bradley,2005,2006,bradlmi01
Shawn Bradley,1994,1996,bradlsh01
Tony Bradley,2021,2021,bradlto01
Mark Bradtke,1997,1997,bradtma01
Elton Brand,2009,2016,brandel01
Jesse Branson,1966,1966,bransje01
Jim Brasco,1953,1953,brascji01
Ignas Brazdeikis,2021,2021,brazdig01
Corey Brewer,2019,2019,breweco01
Primož Brezec,2010,2010,brezepr01
Bill Bridges,1972,1973,bridgbi01
Allan Bristow,1974,1975,bristal01
Scott Brooks,1989,1990,brooksc01
Charlie Brown Jr.,2022,2022,brownch02
Damone Brown,2002,2002,brownda02
Kedrick Brown,2005,2005,brownke01
Kwame Brown,2013,2013,brownkw01
Lorenzo Brown,2014,2014,brownlo01
Mike Brown,1996,1996,brownmi01
Joe Bryant,1976,1979,bryanjo01
Mark Bryant,2003,2003,bryanma01
Greg Buckner,2003,2004,buckngr01
Rodney Buford,2001,2001,buforro01
Trey Burke,2020,2020,burketr01
Alec Burks,2020,2020,burksal01
Willie Burton,1995,1995,burtowi01
Jimmy Butler,2019,2019,butleji01
Barney Cable,1960,1961,cableba01
Michael Cage,1997,1997,cagemi01
Gerry Calabrese,1951,1952,calabge01
Adrian Caldwell,1997,1997,caldwad01
Bill Calhoun,1953,1953,calhobi01
Isaiah Canaan,2015,2016,canaais01
Larry Cannon,1974,1974,cannola01
Rodney Carney,2007,2010,carnero01
Butch Carter,1986,1986,cartebu01
