Player,From,To,PlayerId
Alaa Abdelnaby,1991,1992,abdelal01
Shareef Abdur-Rahim,2004,2005,abdursh01
Rick Adelman,1971,1973,adelmri01
Arron Afflalo,2015,2015,afflaar01
Danny Ainge,1991,1992,aingeda01
LaMarcus Aldridge,2007,2015,aldrila01
Cliff Alexander,2016,2016,alexacl01
Al-Farouq Aminu,2016,2019,aminual01
Dan Anderson,1975,1976,anderda02
Derek Anderson,2002,2005,anderde01
Kenny Anderson,1997,1998,anderke01
Kim Anderson,1979,1979,anderki01
Richard Anderson,1988,1989,anderri01
Carmelo Anthony,2020,2021,anthoca01
Greg Anthony,1999,2001,anthogr01
Ryan Arcidiacono,2023,2023,arcidry01
Trevor Ariza,2020,2020,arizatr01
Vincent Askew,1998,1998,askewvi01
Stacey Augmon,1997,2001,augmost01
Dennis Awtrey,1982,1982,awtrede01
Jeff Ayres,2010,2010,pendeje02
Luke Babbitt,2011,2013,babbilu01
Carl Bailey,1982,1982,baileca01
Maurice Baker,2005,2005,bakerma01
Wade Baldwin,2018,2019,baldwwa01
Erick Barkley,2001,2002,barkler01
Jim Barnett,1971,1971,barneji02
Earl Barron,2011,2011,barroea01
Will Barton,2013,2015,bartowi01
Billy Ray Bates,1980,1982,batesbi01
Nicolas Batum,2009,2015,batumni01
Jerryd Bayless,2009,2010,bayleje01
Kent Bazemore,2020,2020,bazemke01
Walter Berry,1987,1987,berrywa01
Joe Binion,1987,1987,biniojo01
Steve Blake,2006,2015,blakest01
Keljin Blevins,2021,2022,blevike01
Ruben Boumtje-Boumtje,2002,2004,boumtru01
Sam Bowie,1985,1989,bowiesa01
Adrian Branch,1989,1989,brancad01
Jim Brewer,1980,1980,breweji01
Ron Brewer,1979,1981,brewero01
Greg Brown III,2022,2023,browngr01
Marcus Brown,1997,1997,brownma01
Moses Brown,2020,2020,brownmo01
Rick Brunson,1998,2002,brunsri01
Mark Bryant,1989,1995,bryanma01
Don Buse,1983,1983,busedo01
John Butler,2023,2023,butlejo01
Mitchell Butler,1997,2002,butlemi02
Corky Calhoun,1977,1978,calhoco01
Marcus Camby,2010,2012,cambyma01
Geno Carlisle,2005,2005,carlige01
Kenny Carr,1983,1987,carrke01
Matt Carroll,2004,2004,carroma01
Kelvin Cato,1998,1999,catoke01
Randolph Childress,1996,1997,childra01
Victor Claver,2013,2015,clavevi01
Barry Clemens,1975,1976,clemeba01
Jarron Collins,2011,2011,collija03
Zach Collins,2018,2020,colliza01
Steve Colter,1985,1986,coltest01
Chance Comanche,2023,2023,comanch01
Pat Connaughton,2016,2018,connapa01
Anthony Cook,1996,1996,cookan01
Omar Cook,2004,2004,cookom01
Wayne Cooper,1983,1992,coopewa01
Robert Covington,2021,2022,covinro01
Allen Crabbe,2014,2017,crabbal01
Jamal Crawford,2012,2012,crawfja01
Geoff Crompton,1981,1981,crompge01
John Crotty,1998,1999,crottjo01
Jarron Cumberland,2022,2022,cumbeja01
Dante Cunningham,2010,2011,cunnida01
Seth Curry,2019,2019,curryse01
Antonio Daniels,2003,2003,daniean01
Bob Davis,1973,1973,davisbo01
Charlie Davis,1973,1974,davisch01
Dale Davis,2001,2004,davisda01
Ed Davis,2016,2018,davised01
Johnny Davis,1977,1978,davisjo01
Walter Davis,1991,1991,daviswa03
Dan Dickau,2004,2007,dickada01
Kaniel Dickens,2004,2004,dickeka01
Travis Diener,2010,2010,dienetr01
Ike Diogu,2009,2009,dioguik01
Terry Dischinger,1973,1973,dischte01
Juan Dixon,2006,2007,dixonju01
Jacky Dorsey,1978,1978,dorseja01
Clyde Drexler,1984,1995,drexlcl01
Kevin Duckworth,1987,1993,duckwke01
Chris Dudley,1994,2003,dudlech02
Kris Dunn,2022,2022,dunnkr01
T.R. Dunn,1978,1980,dunntr01
James Edwards,1995,1995,edwarja01
Mario Elie,1993,1993,eliema01
CJ Elleby,2021,2022,ellebcj01
Leroy Ellis,1971,1971,ellisle01
Chris Engler,1987,1987,englech01
Claude English,1971,1971,englicl01
Drew Eubanks,2022,2023,eubandr01
Raymond Felton,2012,2012,feltora01
Desmond Ferguson,2004,2004,fergude01
Rudy Fernández,2009,2011,fernaru01
Rolando Ferreira,1989,1989,ferrero01
Jonny Flynn,2012,2012,flynnjo01
Richie Frahm,2005,2005,frahmri01
Tim Frazier,2015,2016,fraziti01
Enes Freedom,2019,2021,kanteen01
Joel Freeland,2013,2015,freeljo01
Channing Frye,2008,2009,fryech01
Bernie Fryer,1974,1974,fryerbe01
Wenyen Gabriel,2020,2020,gabriwe01
Mike Gale,1981,1981,galemi01
Kevin Gamble,1988,1988,gamblke01
Alonzo Gee,2015,2015,geeal01
Harry Giles,2021,2021,gilesha01
Eddie Gill,2004,2004,gilled01
Herm Gilliam,1977,1977,gillihe01
Walt Gilmore,1971,1971,gilmowa01
Stephen Graham,2007,2007,grahast01
Brian Grant,1998,2000,grantbr01
Gary Grant,1998,2001,grantga01
Harvey Grant,1994,1996,grantha01
Jerami Grant,2023,2023,grantje01
Taurean Green,2008,2008,greenta01
Gary Gregor,1971,1972,gregoga01
Bob Gross,1976,1982,grossbo01
Pétur Guðmundsson,1982,1982,gudmupe01
Shaler Halimon,1971,1971,halimsh01
Roy Hamilton,1981,1981,hamilro01
Maurice Harkless,2016,2019,harklma01
Mike Harper,1981,1982,harpemi01
Shaquille Harrison,2023,2023,harrish01
Josh Hart,2022,2023,hartjo01
Antonio Harvey,2000,2001,harvean01
Steve Hawes,1976,1976,hawesst01
Gerald Henderson,2016,2016,hendege02
Steve Henson,1995,1995,hensost01
Mario Hezonja,2020,2020,hezonma01
J.J. Hickson,2012,2013,hicksjj01
Sean Higgins,1998,1998,higgise01
Jaylen Hoard,2020,2020,hoardja01
Lionel Hollins,1976,1980,hollili01
Rondae Hollis-Jefferson,2021,2021,holliro01
Michael Holton,1987,1988,holtomi01
Rodney Hood,2019,2021,hoodro01
Juwan Howard,2010,2010,howarju01
Elijah Hughes,2022,2022,hugheel01
Darrall Imhoff,1972,1972,imhofda01
Byron Irvin,1990,1990,irvinby01
Jarrett Jack,2006,2008,jackja01
Jaren Jackson,1994,1994,jacksja01
Jim Jackson,1999,1999,jacksji01
Abdul Jeelani,1980,1980,jeelaab01
Jared Jeffries,2013,2013,jeffrja01
Armon Johnson,2011,2012,johnsar02
Chris Johnson,2011,2012,johnsch03
Clemon Johnson,1979,1979,johnscl01
Dave Johnson,1993,1993,johnsda01
John Johnson,1974,1976,johnsjo01
Ken Johnson,1986,1986,johnske01
Keon Johnson,2022,2023,johnske07
Ollie Johnson,1973,1974,johnsol01
Steve Johnson,1987,1989,johnsst03
Nate Johnston,1990,1990,johnsna01
Caldwell Jones,1986,1989,jonesca01
Charles Jones,1988,1988,jonesch02
Derrick Jones Jr.,2021,2021,jonesde02
Fred Jones,2007,2007,jonesfr01
James Jones,2008,2008,jonesja02
Robin Jones,1977,1977,jonesro01
Steve Jones,1976,1976,jonesst01
Eddie Jordan,1984,1984,jordaed01
