Player,From,To,PlayerId
Alaa Abdelnaby,1995,1995,abdelal01
Zaid Abdul-Aziz,1969,1969,abdulza01
Mahmoud Abdul-Rauf,1997,1998,abdulma02
Tariq Abdul-Wahad,1998,1999,abdulta01
Shareef Abdur-Rahim,2006,2008,abdursh01
Quincy Acy,2014,2016,acyqu01
Michael Adams,1986,1986,adamsmi01
Rick Adelman,1975,1975,adelmri01
Arron Afflalo,2017,2017,afflaar01
Danny Ainge,1989,1990,aingeda01
Cole Aldrich,2013,2013,aldrico01
Lucius Allen,1978,1979,allenlu01
Randy Allen,1989,1990,allenra01
Peter Aluma,1999,1999,alumape01
James Anderson,2016,2016,anderja01
Nick Anderson,2000,2001,anderni01
Wally Anderzunas,1970,1970,anderwa01
Tiny Archibald,1971,1976,architi01
Trevor Ariza,2020,2020,arizatr01
Joe Arlauckas,1988,1988,arlaujo01
Hilton Armstrong,2010,2010,armsthi01
Jay Arnette,1964,1966,arnetja01
Bob Arnzen,1971,1971,arnzebo01
Vincent Askew,1993,1993,askewvi01
Marvin Bagley III,2019,2022,baglema01
Harrison Barnes,2019,2023,barneha02
Matt Barnes,2005,2017,barnema02
Mike Barr,1977,1977,barrmi01
Moe Barr,1971,1971,barrmo01
Jon Barry,1999,2001,barryjo01
Kent Bazemore,2020,2020,bazemke01
Ron Behagen,1974,1979,behagro01
Marco Belinelli,2016,2016,belinma01
Ricky Berry,1989,1989,berryri01
Sim Bhullar,2015,2015,bhullsi01
Mike Bibby,2002,2008,bibbymi01
Bob Bigelow,1976,1978,bigelbo01
Otis Birdsong,1978,1981,birdsot01
Nemanja Bjelica,2019,2021,bjeline01
Tom Black,1971,1971,blackto01
John Block,1973,1974,blockjo01
Bucky Bockhorn,1959,1965,bockhbu01
Bogdan Bogdanović,2018,2020,bogdabo01
Anthony Bonner,1991,1993,bonnean01
Ron Boone,1977,1978,boonero01
Calvin Booth,2009,2009,boothca01
Bob Boozer,1961,1964,boozebo01
Michael Bradley,2005,2005,bradlmi01
Mike Bratz,1986,1986,bratzmi01
Randy Breuer,1994,1994,breuera01
Corey Brewer,2019,2020,breweco01
Jon Brockman,2010,2010,brockjo01
Price Brookfield,1950,1950,brookpr01
Aaron Brooks,2013,2013,brookaa01
Bobby Brown,2009,2009,brownbo02
Chucky Brown,2002,2002,brownch01
Randy Brown,1992,1995,brownra02
Joe Buckhalter,1962,1963,buckhjo01
Rodney Buford,2004,2004,buforro01
Alec Burks,2019,2019,burksal01
Tom Burleson,1978,1980,burleto01
Evers Burns,1994,1994,burnsev01
Bob Burrow,1957,1957,burrobo01
Deonte Burton,2023,2023,burtode02
Don Buse,1984,1985,busedo01
Caron Butler,2016,2016,butleca01
Bruno Caboclo,2018,2018,cabocbr01
