Player,From,To,PlayerId
Precious Achiuwa,2022,2023,achiupr01
Quincy Acy,2013,2014,acyqu01
Hassan Adams,2009,2009,adamsha01
Alexis Ajinça,2011,2011,ajincal01
Solomon Alabi,2011,2012,alabiso01
Rafer Alston,2003,2005,alstora01
David Andersen,2011,2011,anderda03
Alan Anderson,2012,2013,anderal01
Willie Anderson,1996,1996,anderwi01
OG Anunoby,2018,2023,anunoog01
Rafael Araújo,2005,2006,araujra01
Robert Archibald,2004,2004,archiro01
Carlos Arroyo,2002,2002,arroyca01
D.J. Augustin,2014,2014,augusdj01
Mark Baker,1999,1999,bakerla01
Marcus Banks,2009,2011,banksma01
Dalano Banton,2022,2023,bantoda01
Leandro Barbosa,2011,2012,barbole01
Andrea Bargnani,2007,2013,bargnan01
Scottie Barnes,2022,2023,barnesc01
Andre Barrett,2006,2006,barrean01
Will Barton,2023,2023,bartowi01
Maceo Baston,2003,2008,bastoma01
Mengke Bateer,2004,2004,bateeme01
Lonny Baxter,2004,2004,baxtelo01
Jerryd Bayless,2011,2012,bayleje01
Aron Baynes,2021,2021,baynear01
Marco Belinelli,2010,2010,belinma01
DeAndre' Bembry,2021,2021,bembrde01
Benoit Benjamin,1997,1997,benjabe01
Anthony Bennett,2016,2016,bennean01
Chauncey Billups,1998,1998,billuch01
Khem Birch,2021,2023,birchkh01
Bismack Biyombo,2016,2016,biyombi01
Corie Blount,2004,2004,blounco01
Muggsy Bogues,2000,2001,boguemu01
Isaac Bonga,2022,2022,bongais01
Matt Bonner,2005,2006,bonnema01
Chris Bosh,2004,2010,boshch01
Chris Boucher,2019,2023,bouchch01
Michael Bradley,2002,2004,bradlmi01
Primož Brezec,2008,2008,brezepr01
Oshae Brissett,2020,2020,brissos01
Armoni Brooks,2022,2022,brookar01
Damone Brown,2003,2003,brownda02
Dee Brown,1998,2000,brownde01
Lorenzo Brown,2018,2019,brownlo01
Rick Brunson,2004,2004,brunsri01
Rasual Butler,2012,2012,butlera01
Dwight Buycks,2014,2014,buyckdw01
Bruno Caboclo,2015,2018,cabocbr01
José Calderón,2006,2013,caldejo01
Marcus Camby,1997,1998,cambyma01
DeMarre Carroll,2016,2017,carrode01
Anthony Carter,2012,2012,cartean01
Vince Carter,1999,2005,cartevi01
Justin Champagnie,2022,2023,champju01
Chris Childs,2001,2002,childch01
Doug Christie,1996,2000,chrisdo01
Keon Clark,2001,2002,clarkke01
Omar Cook,2005,2005,cookom01
Tyrone Corbin,2001,2001,corbity01
William Cunningham,1999,1999,cunniwi01
Earl Cureton,1997,1997,curetea01
Dell Curry,2000,2002,curryde01
Michael Curry,2004,2004,currymi01
Lloyd Daniels,1998,1998,daniell01
