Player,From,To,PlayerId
Rick Adelman,1975,1975,adelmri01
Ochai Agbaji,2023,2023,agbajoc01
Blake Ahearn,2012,2012,ahearbl01
Nickeil Alexander-Walker,2022,2023,alexani01
Grayson Allen,2019,2019,allengr01
Morris Almond,2008,2009,almonmo01
John Amaechi,2002,2003,amaecjo01
Lou Amundson,2007,2007,amundlo01
J.J. Anderson,1983,1985,anderjj01
Shandon Anderson,1997,1999,andersh01
Rafael Araújo,2007,2007,araujra01
Carlos Arroyo,2003,2005,arroyca01
Isaac Austin,1992,1993,austiis01
Anthony Avent,1999,1999,aventan01
Udoka Azubuike,2021,2023,azubuud01
Gus Bailey,1978,1979,bailegu01
Thurl Bailey,1984,1999,baileth01
Jim Barnett,1975,1975,barneji02
Malik Beasley,2023,2023,beaslma01
Ron Behagen,1976,1977,behagro01
Raja Bell,2004,2012,bellra01
Walt Bellamy,1975,1975,bellawa01
Jerrelle Benimon,2015,2015,benimje01
Mel Bennett,1981,1981,benneme01
David Benoit,1992,2001,benoida01
Kent Benson,1987,1987,bensoke01
Henry Bibby,1975,1976,bibbyhe01
Andris Biedriņš,2014,2014,biedran01
John Block,1975,1975,blockjo01
Bojan Bogdanović,2020,2022,bogdabo02
Leandro Bolmaro,2023,2023,bolmale01
Joel Bolomboy,2017,2017,bolomjo01
Walter Bond,1994,1995,bondwa01
Trevor Booker,2015,2016,booketr01
Ron Boone,1980,1981,boonero01
Carlos Boozer,2005,2010,boozeca01
Curtis Borchardt,2004,2005,borchcu01
Tom Boswell,1980,1984,bosweto01
Freddie Boyd,1976,1978,boydfr01
Ken Boyd,1975,1975,boydke01
Tony Bradley,2018,2020,bradlto01
Jarrell Brantley,2020,2023,brantja01
Ronnie Brewer,2007,2010,brewero02
Allan Bristow,1980,1981,bristal01
Dee Brown,2007,2007,brownde03
Devin Brown,2006,2006,brownde02
John Brown,1980,1980,brownjo01
Mike Brown,1989,1993,brownmi01
Raymond Brown,1990,1990,brownra01
Tony Brown,1991,1991,brownto01
Trey Burke,2014,2016,burketr01
Alec Burks,2012,2019,burksal01
Jared Butler,2022,2022,butleja02
Marty Byrnes,1979,1979,byrnema01
Mack Calvin,1980,1980,calvima01
Antoine Carr,1995,1998,carran01
DeMarre Carroll,2012,2013,carrode01
Bobby Cattage,1982,1982,cattabo01
Tyler Cavanaugh,2019,2019,cavanty01
Tom Chambers,1994,1995,chambto01
Calbert Cheaney,2003,2003,cheanca01
Zylan Cheatham,2022,2022,cheatzy01
Pete Chilcutt,2000,2000,chilcpe01
Patrick Christopher,2015,2015,chrispa01
Ian Clark,2014,2015,clarkia01
Keon Clark,2004,2004,clarkke01
Jordan Clarkson,2020,2023,clarkjo01
E.C. Coleman,1975,1977,colemec01
Jarron Collins,2002,2009,collija03
Mike Conley,2020,2023,conlemi01
Jeff Cook,1986,1986,cookje01
Jack Cooley,2015,2015,cooleja01
Wayne Cooper,1981,1981,coopewa01
Tyrone Corbin,1992,1994,corbity01
Bryce Cotton,2015,2015,cottobr01
Mel Counts,1975,1976,countme01
Marcus Cousin,2011,2011,cousima01
John Crotty,1993,2002,crottjo01
Corey Crowder,1992,1992,crowdco01
Jae Crowder,2018,2019,crowdja01
Pat Cummings,1991,1991,cummipa01
William Cunningham,1998,1998,cunniwi01
Dell Curry,1987,1987,curryde01
Adrian Dantley,1980,1986,dantlad01
Brad Davis,1980,1980,davisbr01
Ed Davis,2020,2020,davised01
Darryl Dawkins,1988,1988,dawkida01
Paul Dawkins,1980,1980,dawkipa01
Greg Deane,1980,1980,deanegr01
Boris Diaw,2017,2017,diawbo01
James Donaldson,1993,1995,donalja01
John Drew,1983,1985,drewjo01
Kris Dunn,2023,2023,dunnkr01
John Duren,1981,1982,durenjo01
Mark Eaton,1983,1993,eatonma01
Jerry Eaves,1983,1984,eavesje01
Blue Edwards,1990,1995,edwarbl01
Howard Eisley,1996,2005,eisleho01
Francisco Elson,2011,2011,elsonfr01
Jeremy Evans,2011,2015,evansje01
Dante Exum,2015,2020,exumda01
Jim Farmer,1989,1989,farmeji01
Derrick Favors,2011,2021,favorde01
Kyrylo Fesenko,2008,2011,fesenky01
Derek Fisher,2007,2007,fishede01
Malik Fitts,2022,2022,fittsma01
Simone Fontecchio,2023,2023,fontesi01
Trent Forrest,2021,2022,forretr01
Greg Foster,1996,1999,fostegr01
Randy Foye,2013,2013,foyera01
Enes Freedom,2012,2015,kanteen01
Bernie Fryer,1975,1975,fryerbe01
Todd Fuller,1999,1999,fulleto02
Terry Furlow,1980,1980,furlote01
Sundiata Gaines,2010,2010,gainesu01
Chad Gallagher,1994,1994,gallach01
Diante Garrett,2014,2014,garredi02
Rudy Gay,2022,2023,gayru01
John Gianelli,1980,1980,gianejo01
Armen Gilliam,2000,2000,gilliar01
Gordan Giriček,2004,2008,giricgo01
Rudy Gobert,2014,2022,goberru01
Gail Goodrich,1977,1979,goodrga01
Paul Grant,2004,2004,grantpa01
Erick Green,2016,2016,greener01
Jeff Green,2020,2020,greenje02
Lamar Green,1975,1975,greenla01
Rickey Green,1981,1988,greenri01
Sean Green,1994,1994,greense01
Tommie Green,1979,1979,greento01
Paul Griffin,1977,1979,griffpa01
Darrell Griffith,1981,1991,griffda01
Tom Gugliotta,2004,2004,guglito01
Ben Handlogten,2004,2005,handlbe01
Bob Hansen,1984,1990,hansebo01
James Hardy,1979,1982,hardyja01
Matt Harpring,2003,2009,harprma01
Devin Harris,2011,2012,harride01
Mike Harris,2014,2014,harrimi01
Shaquille Harrison,2021,2021,harrish01
Jason Hart,2008,2008,hartja01
Steve Hayes,1986,1986,hayesst01
Gordon Hayward,2011,2017,haywago01
Spencer Haywood,1979,1979,haywosp01
Juancho Hernangómez,2022,2022,hernaju01
George Hill,2017,2017,hillge01
Rodney Hood,2015,2018,hoodro01
Jeff Hornacek,1994,2000,hornaje01
Talen Horton-Tucker,2023,2023,hortota01
Danuel House Jr.,2022,2022,houseda01
Josh Howard,2012,2012,howarjo01
Mo Howard,1977,1977,howarmo01
Stephen Howard,1993,1997,howarst01
Troy Hudson,1998,1998,hudsotr01
Eddie Hughes,1988,1988,hugheed01
Elijah Hughes,2021,2022,hugheel01
Jay Humphries,1993,1995,humphja01
Kris Humphries,2005,2006,humphkr01
Marc Iavaroni,1986,1989,iavarma01
Ersan İlyasova,2021,2021,ilyaser01
Joe Ingles,2015,2022,inglejo01
Frank Jackson,2023,2023,jacksfr01
Mark Jackson,2003,2003,jacksma01
Dave Jamerson,1994,1994,jamerda01
Aaron James,1975,1979,jamesaa01
